nationalite,studio,timing,title,titre_original,entrees_fr,num_actors,actor_1,actor_2,actor_3,num_director,director_1,director_2,director_3,popularity_actor_1,popularity_actor_2,popularity_actor_3,popularity_director_1,popularity_director_2,continents
 U.S.A., Universal Pictures International France ,118,Le Dernier Voyage du Demeter,The Last Voyage Of The Demeter,82375,3,Corey Hawkins,Aisling Franciosi,Liam Cunningham,3,André Øvredal,Zak Olkewicz,Bragi Schut,160.0,543.0,938.0,693.0,506.0,Amérique du Nord
 U.S.A., Universal Pictures International France ,102,Le Chat Potté 2 : la dernière quête,Puss in Boots: The Last Wish,502167,3,Boris Rehlinger,Antonio Banderas,Diane Dassigny,4,Januel P. Mercado,Joel Crawford,Paul Fisher (II),161.0,13.0,939.0,694.0,161.0,Amérique du Nord
 U.S.A., Sony Pictures Releasing France ,141,Spider-Man : Across The Spider-Verse,Spider-Man: Across The Spider-Verse,550808,3,Stéphane Bak,Shameik Moore,Shirine Boutella,5,Joaquim Dos Santos,Kemp Powers,Justin Thompson,162.0,544.0,940.0,695.0,507.0,Amérique du Nord
 U.S.A., Metropolitan FilmExport ,119,Misanthrope,To Catch A Killer,100146,3,Shailene Woodley,Ben Mendelsohn,Jovan Adepo,3,Damián Szifron,Damián Szifron,Jonathan Wakeham,27.0,545.0,941.0,696.0,53.0,Amérique du Nord
 U.S.A., Paramount Pictures France ,163,Mission: Impossible – Dead Reckoning Partie 1,Mission: Impossible – Dead Reckoning Part One,930141,3,Tom Cruise,Hayley Atwell,Ving Rhames,3,Christopher McQuarrie,Christopher McQuarrie,Erik Jendresen,163.0,546.0,942.0,697.0,54.0,Amérique du Nord
 Grande-Bretagne, The Walt Disney Company France ,131,The King's Man : Première Mission,The King's Man,336793,3,Ralph Fiennes,Gemma Arterton,Rhys Ifans,3,Matthew Vaughn,Matthew Vaughn,Karl Gajdusek,28.0,547.0,943.0,698.0,55.0,Europe
 U.S.A., Sony Pictures Releasing France ,125,Là où chantent les écrevisses,Where The Crawdads Sing,110381,3,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,2,Olivia Newman,Lucy Alibar,,164.0,548.0,6.0,,508.0,Amérique du Nord
 U.S.A., The Walt Disney Company France ,157,Les Eternels,Eternals,775467,3,Gemma Chan,Richard Madden,Salma Hayek,3,Chloé Zhao,Chloé Zhao,Patrick Burleigh,165.0,549.0,112.0,323.0,56.0,Amérique du Nord
 Italie, Universal Pictures International France ,131,Dernière nuit à Milan,L’Ultima Notte Di Amore,40869,3,Pierfrancesco Favino,Linda Caridi,Antonio Gerardi,2,Andrea Di Stefano,Andrea Di Stefano,,1.0,550.0,944.0,,57.0,Europe
 Finlande, SND ,91,SISU - De l'Or et du Sang,Sisu,44625,3,Jorma Tommila,Aksel Hennie,Jack Doolan,2,Jalmari Helander,Jalmari Helander,,166.0,551.0,945.0,,58.0,Europe
 Espagne, Haut et Court ,169,Fermer les yeux,Cerrar los ojos,14004,3,Manolo Solo,José Coronado,Ana Torrent,3,Victor Erice,Victor Erice,Michel Gaztambide,167.0,552.0,946.0,699.0,59.0,Europe
 Turquie, Outplay Films ,114,Nuit Noire en Anatolie,Karanlık Gece,2115,3,Berkay Ateş,Taner Birsel,Sibel Kekilli,3,Özcan Alper,Özcan Alper,Murat Uyurkulak,168.0,553.0,947.0,700.0,60.0,Asie
 U.S.A., The Walt Disney Company France ,192,Avatar : la voie de l'eau,Avatar: The Way of Water,2739848,3,Sam Worthington,Zoe Saldana,Sigourney Weaver,3,James Cameron,James Cameron,Rick Jaffa,169.0,82.0,948.0,701.0,61.0,Amérique du Nord
 U.S.A., Warner Bros. France ,109,La Nonne : La Malédiction de Sainte Lucie,The Nun II,464102,3,Taissa Farmiga,Jonas Bloquet,Storm Reid,3,Michael Chaves,Ian B. Goldberg,Richard Naing,170.0,554.0,54.0,702.0,509.0,Amérique du Nord
 U.S.A., The Walt Disney Company France ,154,Indiana Jones et le Cadran de la Destinée,Indiana Jones and the Dial of Destiny,1089875,3,Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen,3,James Mangold,James Mangold,John-Henry Butterworth,171.0,555.0,113.0,703.0,63.0,Amérique du Nord
 U.S.A., Metropolitan FilmExport ,158,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,The Hunger Games: The Ballad of Songbirds and Snakes,613191,3,Tom Blyth,Rachel Zegler,Peter Dinklage,3,Francis Lawrence,Michael Arndt,Michael Lesslie,172.0,556.0,949.0,704.0,510.0,Amérique du Nord
 U.S.A., Universal Pictures International France ,92,"Super Mario Bros, le film",The Super Mario Bros. Movie,1866914,3,Pierre Tessier,Chris Pratt,Jérémie Covillault,3,Aaron Horvath,Michael Jelenic,Matthew Fogel,173.0,5.0,114.0,705.0,511.0,Amérique du Nord
