nationalite,studio,timing,title,titre_original,entrees_fr,num_actors,actor_1,actor_2,actor_3,num_director,director_1,director_2,director_3,popularity_actor_1,popularity_actor_2,popularity_actor_3,popularity_director_1,popularity_director_2,continents
 U.S.A., Universal Pictures International France ,130,Emmett Till,Till,31818,3,Danielle Deadwyler,Jalyn Hall,Whoopi Goldberg,3,Chinonye Chukwu,Michael Reilly,Chinonye Chukwu,283.0,676.0,1073.0,141.0,584.0,Amérique du Nord
 Roumanie, Météore Films ,163,N’attendez pas trop de la fin du monde,Nu aștepta prea mult de la sfârșitul lumii,1865,3,Nina Hoss,Uwe Boll,Katia Pascariu,2,Radu Jude,Radu Jude,,41.0,677.0,66.0,,10.0,Europe
 Corée du Sud, The Jokers / Les Bookmakers ,133,Ça tourne à Séoul ! Cobweb,Geomijip,13756,3,Park Jung-soo,Krystal Jung,Jung-se Oh,3,Kim Jee-Woon,Yeon-Shick Shin,Kim Jee-Woon,284.0,678.0,1074.0,142.0,585.0,Asie
 U.S.A., Sony Pictures Releasing France ,110,Nightmare Island,Fantasy Island,206429,3,Michael Peña,Maggie Q,Lucy Hale,3,Jeff Wadlow,Jeff Wadlow,Chris Roach,53.0,679.0,103.0,761.0,143.0,Amérique du Nord
 Espagne, Wild Bunch Distribution ,114,Compétition officielle,Competencia oficial,61295,3,Penélope Cruz,Antonio Banderas,Oscar Martinez,4,Mariano Cohn,Gastón Duprat,Andrés Duprat,3.0,13.0,1075.0,762.0,586.0,Europe
 U.S.A., Sony Pictures Releasing France ,111,Missing : Disparition inquiétante,Missing,53919,3,Storm Reid,Nia Long,Megan Suri,4,Will Merrick (II),Nicholas D. Johnson,Will Merrick (II),54.0,680.0,42.0,144.0,587.0,Amérique du Nord
 Finlande, Haut et Court ,121,Amours à la finlandaise,Neljä pientä aikuista,7753,3,Eero Milonoff,Alma Pöysti,Oona Airola,2,Selma Vilhunen,Selma Vilhunen,,285.0,23.0,1076.0,,145.0,Europe
 U.S.A., Metropolitan FilmExport ,93,Spirale : L'Héritage de Saw,Spiral: From The Book Of Saw,33994,3,Chris Rock,Max Minghella,Samuel L. Jackson,3,Darren Lynn Bousman,Pete Goldfinger,Josh Stolberg,286.0,681.0,15.0,763.0,588.0,Amérique du Nord
 Japon, Diaphana Distribution ,121,Contes du hasard et autres fantaisies,Guzen to sozo,55324,3,Kotone Furukawa,Ayumu Nakajima, Hyunri,2,Ryūsuke Hamaguchi,Ryūsuke Hamaguchi,,287.0,682.0,1077.0,,2.0,Asie
 U.S.A., SND ,123,355,The 355,120131,3,Jessica Chastain,Penélope Cruz,Bingbing Fan,3,Simon Kinberg,Theresa Rebeck,Simon Kinberg,288.0,3.0,1078.0,146.0,589.0,Amérique du Nord
 Grande-Bretagne, Wild Bunch Distribution ,108,L'Improbable voyage d'Harold Fry,The Unlikely Pilgrimage Of Harold Fry,24634,3,Jim Broadbent,Penelope Wilton,Linda Bassett,2,Hettie MacDonald,Rachel Joyce (II),,289.0,683.0,1079.0,,590.0,Europe
 Grande-Bretagne, Metropolitan FilmExport ,93,L'Emprise du démon,The Offering,85068,3,Nick Blood,Emily Wiseman,Paul Kaye,2,Oliver Park,Hank Hoffman,,290.0,684.0,1080.0,,591.0,Europe
 Hong-Kong, Eurozoom ,130,"Sakra, la légende des demi-dieux",Tin lung baat bou,12831,3,Donnie Yen,Yuqi Chen,Cya Liu,4,Donnie Yen,Kam Ka-Wai,Sheng Lingzhi,55.0,685.0,1081.0,764.0,592.0,Asie
 Iran, Bodega Films ,86,Juste une nuit,Ta farda,6580,3,Sadaf Asgari,Ghazal Shojaei,Babak Karimi,3,Ali Asgari,Ali Asgari,Alireza Khatami,291.0,686.0,1082.0,306.0,3.0,Asie
 U.S.A., Dulac Distribution ,82,24 heures à New-York,Mutt,2712,3,Lio Mehiel,Cole Doman,MiMi Ryder,2,Vuk Lungulov-Klotz,Vuk Lungulov-Klotz,,292.0,687.0,1083.0,,147.0,Amérique du Nord
 Argentine, Eurozoom ,114,Le Braquage du siècle,El robo del siglo,5589,3,Guillermo Francella,Diego Peretti,Juan Alari,3,Ariel Winograd,Alex Zito,Fernando Araujo,293.0,688.0,1084.0,765.0,593.0,Amérique du Sud
 U.S.A., The Walt Disney Company France ,99,Affamés,Antlers,75483,3,Keri Russell,Jesse Plemons,Jeremy T. Thomas,3,Scott Cooper,Nick Antosca,Henry Chaisson,49.0,689.0,1085.0,766.0,594.0,Amérique du Nord
 Japon, Art House ,100,De l'autre côté du ciel,Eiga Entotsumachi no Puperu,71513,3,Philippe Katerine,Masataka Kubota,Fanny Bloc,2,Yusuke Hirota,Akihiro Nishino,,294.0,96.0,1086.0,,595.0,Asie
 France, StudioCanal ,91,Mystère à Saint-Tropez : une enquête de l'inspecteur Boulin,Mystère à Saint-Tropez,116540,3,Christian Clavier,Benoît Poelvoorde,Thierry Lhermitte,3,Nicolas Benamou,Christian Clavier,Jean-François Halin,295.0,690.0,1087.0,767.0,596.0,Europe
 Espagne, Pyramide Distribution ,120,Nos soleils,Alcarràs,20951,3,Jordi Pujol Dolcet,Anna Otín,Xenia Roset,3,Carla Simón,Carla Simón,Arnau Vilaró,296.0,691.0,1088.0,768.0,148.0,Europe
 Japon, Les Films du Préau ,105,La Maison des égarées,Misaki no Mayoiga,4640,3,Mana Ashida,Shinobu Ôtake,Sari Awano,2,Shin'ya Kawatsura,Reiko Yoshida,,30.0,97.0,1089.0,,314.0,Asie
 Iran, Diaphana Distribution ,107,Les Ombres persanes,Tafrigh,16175,3,Taraneh Alidoosti,Navid Mohammadzadeh,Esmail Poor-Reza,3,Mani Haghighi,Mani Haghighi,Amir Reza Koohestani,51.0,94.0,1090.0,769.0,149.0,Asie
 Allemagne, Les Films du Losange ,90,Ondine,Undine,23017,3,Paula Beer,Franz Rogowski,Maryam Zaree,2,Christian Petzold,Christian Petzold,,9.0,70.0,1091.0,,5.0,Europe
 Egypte, Rezo Films ,86,Louxor,Luxor,3597,3,Andrea Riseborough,Michael Landes,Sherine Reda,2,Zeina Durra,Zeina Durra,,297.0,692.0,1092.0,,150.0,Afrique
 U.S.A., Universal Pictures International France ,102,Le Voyage du Dr Dolittle,Dolittle,416180,3,Robert Downey Jr.,Antonio Banderas,Jessie Buckley,3,Stephen Gaghan,Stephen Gaghan,Daniel Gregor,298.0,13.0,81.0,770.0,151.0,Amérique du Nord
 Espagne, KMBO ,100,La Maleta,Objetos,16793,3,Álvaro Morte,Verónica Echegui,María Eugenia Suárez,2,Jorge Dorado,Natxo López,,56.0,693.0,1093.0,,597.0,Europe
 Bosnie-Herzégovine, Condor Distribution ,104,La Voix d'Aida,"Quo Vadis, Aida?",17087,3,Jasna Djuricic,Izudin Bajrovic,Boris Ler,2,Jasmila Žbanić,Jasmila Žbanić,,299.0,694.0,1094.0,,152.0,Europe
 Iran, Memento Distribution ,128,Un héros,Ghahreman,64589,3,Amir Jadidi,Mohsen Tanabandeh,Fereshteh Sadre Orafaee,2,Asghar Farhadi,Asghar Farhadi,,300.0,695.0,1095.0,,153.0,Asie
 Italie, ARP Sélection ,135,Nos plus belles années,Gli anni più belli,21010,3,Pierfrancesco Favino,Micaela Ramazzotti,Kim Rossi Stuart,3,Gabriele Muccino,Gabriele Muccino,Paolo Costella,1.0,696.0,1096.0,771.0,154.0,Europe
 Japon, Eurozoom ,110,Détective Conan: le sous-marin noir,Meitantei Conan: Kurogane no Submarine,18183,3,Ioanna Gkizas,Minami Takayama,Laëtitia Lienart,2,Yuzuru Tachikawa,Takeharu Sakurai,,301.0,76.0,1097.0,,315.0,Asie
 U.S.A., Metropolitan FilmExport ,109,Ice Road,The Ice Road,57091,3,Liam Neeson,Laurence Fishburne,Holt McCallany,2,Jonathan Hensleigh,Jonathan Hensleigh,,57.0,697.0,86.0,,155.0,Amérique du Nord
 U.S.A., Warner Bros. France ,116,Space Jam - Nouvelle ère,Space Jam: A New Legacy,182763,3,LeBron James,Don Cheadle,Sonequa Martin-Green,3,Malcolm D. Lee,Juel Taylor,Tony Rettenmaier,302.0,698.0,1098.0,772.0,598.0,Amérique du Nord
 Japon, Eurozoom ,141,Violet Evergarden - le film,Gekijouban Violet Evergarden,2828,3,Yui Ishikawa,Daisuke Namikawa,Takehito Koyasu,2,Taichi Ishidate,Reiko Yoshida,,303.0,699.0,1099.0,,314.0,Asie
 Tunisie, Jour2fête ,92,Sous les figues,Taht el Karmouss,16527,3,Ameni Fdhili,Fide Fdhili,Feten Fdhili,3,Erige Sehiri,Erige Sehiri,Ghalya Lacroix,304.0,700.0,1100.0,773.0,156.0,Afrique
 U.S.A., Universal Pictures International France ,107,Baby Boss 2 : une affaire de famille,The Boss Baby: Family Business,362162,3,Alec Baldwin,James Marsden,Amy Sedaris,2,Tom McGrath,Michael McCullers,,305.0,98.0,1101.0,,599.0,Amérique du Nord
 Espagne, Backup Films ,99,Piggy,Cerdita,208,3,Laura Galán,Richard Holmes (II),Carmen Machi,2,Carlota Pereda,Carlota Pereda,,306.0,701.0,1102.0,,157.0,Europe
 Chili, Dulac Distribution ,95,Chili 1976,1976,21613,3,Aline Küppenheim,Nicolás Sepúlveda,Hugo Medina,3,Manuela Martelli,Manuela Martelli,Alejandra Moffat,307.0,702.0,1103.0,774.0,158.0,Amérique du Sud
 Grande-Bretagne, StudioCanal ,109,Et l'amour dans tout ça ?,What's Love Got to Do With It?,30113,3,Lily James,Shazad Latif,Shabana Azmi,2,Shekhar Kapur,Jemima Khan,,308.0,703.0,1104.0,,600.0,Europe
 Corée du Sud, Capricci Films ,84,De nos jours...,Woo-Ri-UI-Ha-Ru,5225,3,Ki Joo-bong,Kim Min-Hee,Mi-so Park,2,Hong Sang-Soo,Hong Sang-Soo,,309.0,12.0,107.0,,1.0,Asie
 Espagne, Alba Films ,88,Inspecteur Sun et la malédiction de la veuve noire,Inspector Sun y la maldición de la viuda negra,2895,0,,,,2,Julio Soto Gurpide,Rocco Pucillo,,,,,,601.0,Europe
 U.S.A., Metropolitan FilmExport ,93,La Proie du diable,Prey For The Devil,209337,3,Jacqueline Byers,Virginia Madsen,Colin Salmon,2,Daniel Stamm,Robert Zappia,,310.0,704.0,1105.0,,602.0,Amérique du Nord
 Japon, CGR EVENTS ,114,Moi quand je me réincarne en Slime - Le film : Scarlet Bond,Gekijouban Tensei Shitara Slime Datta Ken,26855,3,Takuya Eguchi,Makoto Furukawa,Rina Hidaka,1,Yasuhito Kikuchi,,,311.0,705.0,1106.0,,,Asie
 U.S.A., Metropolitan FilmExport ,96,Mon père et moi,About My Father,25767,3,Sebastian Maniscalco,Robert De Niro,Leslie Bibb,3,Laura Terruso,Sebastian Maniscalco,Austen Earl,312.0,68.0,1107.0,775.0,603.0,Amérique du Nord
 U.S.A., Metropolitan FilmExport ,94,Follow_dead,Dear David,35528,3,Augustus Prew,Andrea Bang,Justin Long,2,John McPhail,Mike Van Waes,,313.0,706.0,1108.0,,604.0,Amérique du Nord
 Argentine, Outplay Films ,103,Camila sortira ce soir,Camila saldrá esta noche,3198,3,Nina Dziembrowski,Adriana Ferrer,Carolina Rojas,3,Inés María Barrionuevo,Inés María Barrionuevo,Andrés Aloi,314.0,707.0,1109.0,776.0,159.0,Amérique du Sud
 U.S.A., Universal Pictures International France ,104,American Nightmare 5 : Sans limites,The Forever Purge,173729,3,Ana de la Reguera,Tenoch Huerta,Josh Lucas,2,Everardo Gout,James DeMonaco,,58.0,708.0,1110.0,,605.0,Amérique du Nord
 Italie, Alba Films ,94,Le Nid du Tigre,Ta'igara: An adventure in the Himalayas,9487,3,Sunny Pawar,Claudia Gerini,Yoon C. Joyce,3,Brando Quilici,Hugh Hudson,Rupert Thomson,315.0,709.0,1111.0,777.0,606.0,Europe
 Hongrie, Pyramide Distribution ,169,L'Histoire de ma femme,A feleségem története,21259,3,Léa Seydoux,Gijs Naber,Louis Garrel,2,Ildiko Enyedi,Ildiko Enyedi,,10.0,710.0,93.0,,160.0,Europe
 Espagne, StudioCanal ,130,"Un an, une nuit","Un año, una noche",6373,3,Noémie Merlant,Nahuel Perez Biscayart,Quim Gutiérrez,3,Isaki Lacuesta,Isa Campo,Fran Araújo,316.0,80.0,1112.0,778.0,316.0,Europe
 U.S.A., Universal Pictures International France ,96,Les Croods 2 : une nouvelle ère,The Croods: A New Age,288149,3,Nicolas Cage,Ryan Reynolds,Emma Stone,3,Joel Crawford,Dan Hageman,Kevin Hageman,45.0,61.0,16.0,779.0,607.0,Amérique du Nord
 Japon, Art House ,115,Rendez-vous à Tokyo,Just Remembering,27335,3,Sosuke Ikematsu,Sairi Itô,Yumi Kawai,2,Daigo Matsui,Daigo Matsui,,317.0,711.0,1113.0,,162.0,Asie
 Espagne, Epicentre Films ,116,Les Repentis,Maixabel,11537,3,Blanca Portillo,Luis Tosar,Urko Olazabal,3,Icíar Bollaín,Icíar Bollaín,Isa Campo,318.0,95.0,1114.0,316.0,163.0,Europe
 Japon, CGR EVENTS ,104,My Hero Academia - World Heroes' Mission,Boku no Hero Academia the Movie 3: World Heroes' Mission,129395,3,Bastien Bourlé,Daiki Yamashita,Emmanuel Rausenberger,2,Kenji Nagasaki,Yosuke Kuroda,,319.0,712.0,1115.0,,608.0,Asie
 Brésil, UFO Distribution ,76,Le Secret des Perlims,Perlimps,15551,3,Giulia Benite,Stenio Garcia,Leny De Luca,2,Alê Abreu,Alê Abreu,,320.0,713.0,1116.0,,164.0,Amérique du Sud
 Guatemala, L'Atelier Distribution ,125,Infiltrée,Cadejo blanco,3113,3,Karen Martínez,Rudy Rodríguez,Brandon López,2,Justin Lerner,Justin Lerner,,321.0,714.0,1117.0,,165.0,Amérique du Nord
 Allemagne, Paradis Films ,85,Les Aventures de Ricky,Richard the Stork and the Mystery of the Great Jewel,37459,3,Jay Myers,Jonathan Failla,Jeffrey Hylton,4,Mette Rank-Tange,Benjamin Quabeck,Reza Memari,322.0,715.0,1118.0,780.0,609.0,Europe
 U.S.A., The Walt Disney Company France ,107,Ron Débloque,Ron's Gone Wrong,137238,3,Jack Dylan Grazer,Zach Galifianakis,Ed Helms,5,Sarah Smith,Jean-Philippe Vine,Octavio E. Rodriguez,59.0,716.0,1119.0,781.0,610.0,Amérique du Nord
 U.S.A., Sony Pictures Releasing France ,93,Pierre Lapin 2,Peter Rabbit 2: The Runaway,482349,3,Thibaut Lacour,James Corden,Rose Byrne,3,Will Gluck,Will Gluck,Patrick Burleigh,323.0,717.0,1120.0,323.0,166.0,Amérique du Nord
 Corée du Sud, ESC Films ,121,Projet Wolf Hunting,Neugdaesanyang,8055,3,Seo In-guk,Dong-Yoon Jang,Jung So-min,2,Hong-seon Kim,Hong-seon Kim,,324.0,718.0,1121.0,,167.0,Asie
 U.S.A., The Walt Disney Company France ,108,La Proie d'une ombre,The Night House,35748,3,Rebecca Hall,Sarah Goldberg,Vondie Curtis-Hall,3,David Bruckner,Ben Collins,Luke Piotrowski,325.0,719.0,1122.0,782.0,611.0,Amérique du Nord
 U.S.A., Warner Bros. France ,106,Krypto et les Super-Animaux,DC League Of Super-Pets,333361,3,Dwayne Johnson,Kevin Hart,Muriel Robin,4,Jared Stern,Sam Levine,Jared Stern,326.0,720.0,1123.0,168.0,612.0,Amérique du Nord
 Espagne, Dulac Distribution ,92,Les Sorcières d'Akelarre,Akelarre,20879,3,Alex Brendemühl,Amaia Aberasturi,Daniel Fanego,3,Pablo Agüero,Pablo Agüero,Katell Guillou,327.0,721.0,1124.0,783.0,169.0,Europe
 Japon, CGR EVENTS ,101,Sword Art Online - Progressive - Scherzo of Deep Night,Gekijō-ban Sword Art Online: Progressive Kuraki Yūyami no Scherzo,22622,3,Haruka Tomatsu,Yoshitsugu Matsuoka,Shiori Izawa,1,Ayako Kôno,,,60.0,64.0,1125.0,,,Asie
 Tunisie, Jour2fête ,92,"Ashkal, l'enquête de Tunis",Ashkal,12336,3,Fatma Oussaifi,Mohamed Houcine Grayaa,Rami Harrabi,3,Youssef Chebbi,Youssef Chebbi,François-Michel Allegrini,328.0,722.0,1126.0,784.0,171.0,Afrique
 France, Madeleine films ,114,Les Promesses,Promises,130294,3,Pierfrancesco Favino,Kelly Reilly,Jean Reno,2,Amanda Sthers,Amanda Sthers,,1.0,99.0,120.0,,11.0,Europe
 France, Madeleine films ,114,Les Promesses,Promises,1009,3,Pierfrancesco Favino,Kelly Reilly,Jean Reno,2,Amanda Sthers,Amanda Sthers,,1.0,99.0,120.0,,11.0,Europe
 U.S.A., Metropolitan FilmExport ,117,Hitman & Bodyguard 2,The Hitman's Wife's Bodyguard,214788,3,Ryan Reynolds,Samuel L. Jackson,Salma Hayek,3,Patrick Hughes (II),Brandon Murphy,Phillip Murphy,61.0,15.0,112.0,785.0,613.0,Amérique du Nord
 Allemagne, KMBO ,85,Le Royaume des étoiles,Peterchens Mondfahrt,158405,3,Maxime Donnay,Dirk Petrick,Benoit Van Dorslaer,3,Ali Samadi Ahadi,Ali Samadi Ahadi,Arne Nolting,329.0,723.0,1127.0,786.0,172.0,Europe
 Pologne, KMBO ,119,Le Procès de l'herboriste,Charlatan,17917,3,Ivan Trojan,Josef Trojan,Juraj Loj,2,Agnieszka Holland,Marek Epstein,,330.0,724.0,1128.0,,614.0,Europe
 Grande-Bretagne, KMBO ,93,Maurice le chat fabuleux,The Amazing Maurice,56867,3,Hugh Laurie,Emilia Clarke,Himesh Patel,3,Toby Genkel,Florian Westermann,Terry Rossio,331.0,725.0,1129.0,787.0,615.0,Europe
 Roumanie, Pyramide Distribution ,102,Radio Metronom,Metronom,7028,3,Mara Bugarin,Şerban Lazarovici,Vlad Ivanov,2,Alexandru Belc,Alexandru Belc,,332.0,726.0,1130.0,,174.0,Europe
 U.S.A., Universal Pictures International France ,94,Les Trolls 2 - Tournée mondiale,Trolls World Tour,419574,3, Vitaa,Anna Kendrick,Matt Pokora,4,David P. Smith,Walt Dohrn,Jonathan Aibel,39.0,87.0,118.0,324.0,309.0,Amérique du Nord
 Argentine, Capricci Films ,133,Trenque Lauquen - Partie 2,Trenque Lauquen parte II,1913,3,Laura Paredes,Juliana Muras,Ezequiel Pierri,3,Laura Citarella,Laura Citarella,Laura Paredes,46.0,91.0,119.0,325.0,8.0,Amérique du Sud
 Islande, Rezo Films ,97,Zone(s) de turbulence,Northern Comfort,5218,3,Lydia Leonard,Timothy Spall,Ella Rumpf,3,Hafsteinn Gunnar Sigurðsson,Hafsteinn Gunnar Sigurðsson,Halldór Halldórsson,333.0,727.0,1131.0,788.0,175.0,Europe
 Espagne, Paramount Pictures France ,90,Tad l'explorateur et la table d'émeraude,Tadeo Jones 3: La tabla esmeralda,204164,3,Philippe Bozo,Oscar Barberán,Guillaume Lebon,3,Enrique Gato,Manuel Burque,Josep Gatell,334.0,728.0,1132.0,789.0,616.0,Europe
 U.S.A., Metropolitan FilmExport ,98,The Good criminal,Honest Thief,116387,3,Liam Neeson,Kate Walsh,Jai Courtney,3,Mark Williams (II),Steve Allrich,Mark Williams (II),57.0,729.0,1133.0,176.0,617.0,Amérique du Nord
 Slovaquie, KMBO ,94,Le Rapport Auschwitz,The Auschwitz Report,6658,3,Noël Czuczor,Peter Ondrejička,Florian Panzner,3,Peter Bebjak,Peter Bebjak,Jozef Paštéka,335.0,730.0,1134.0,790.0,177.0,Europe
 U.S.A., Metropolitan FilmExport ,128,"Billie Holiday, une affaire d'état",The United States Vs. Billie Holiday,39905,3,Andra Day,Trevante Rhodes,Garrett Hedlund,2,Lee Daniels,Suzan-Lori Parks,,336.0,731.0,1135.0,,618.0,Amérique du Nord
 Japon, Art House ,115,Les Amants sacrifiés,Supai no tsuma,27949,3,Yû Aoi,Issey Takahashi,Masahiro Higashide,3,Kiyoshi Kurosawa,Ryūsuke Hamaguchi,Tadashi Nohara,337.0,732.0,1136.0,791.0,2.0,Asie
 Corée du Sud, Capricci Films ,85,Juste sous vos yeux,Dangsin-eolgul-apeseo,7264,3,Hye-Young Lee,Hae-hyo Kwon,Yunhee Cho,2,Hong Sang-Soo,Hong Sang-Soo,,62.0,22.0,1137.0,,1.0,Asie
 Pérou, Le Pacte ,80,"Ainbo, princesse d'Amazonie",Ainbo,109322,3,Audrey Lamy,Lola Raie,Bernardo De Paula,4,Richard Claus,Jose Zelada,Richard Claus,338.0,733.0,1138.0,178.0,619.0,Amérique du Sud
 Japon, Eurozoom ,98,"Josée, le tigre et les poissons",Josee to Tora to Sakana-tachi,10060,3,Kaya Kiyohara,Taishi Nakagawa,Matsutera Chiemi,2,Kotaro Tamura,Sayaka Kuwamura,,339.0,734.0,1139.0,,620.0,Asie
 Portugal, Damned Distribution ,113,Un automne à Great Yarmouth,Great Yarmouth: Provisional Figures,441,3,Nuno Lopes,Beatriz Batarda,Kris Hitchen,3,Marco Martins,Marco Martins,Ricardo Adolfo,63.0,735.0,1140.0,792.0,179.0,Europe
 Iran, Bodega Films ,90,L'Odeur du vent,Derb,8528,2,Hadi Mohaghegh,Mohammad Eghbali,,2,Hadi Mohaghegh,Hadi Mohaghegh,,340.0,736.0,,,180.0,Asie
 U.S.A., SND ,97,Samouraï Academy,Paws Of Fury: The Legend Of Hank,151216,3,Thierry Desroses,Samuel L. Jackson,Jérémie Covillault,5,Rob Minkoff,Mark Koetsier,Chris Bailey,341.0,15.0,114.0,793.0,621.0,Amérique du Nord
 U.S.A., Metropolitan FilmExport ,114,Nos âmes d'enfants,C'mon C'mon,20705,3,Joaquin Phoenix,Gaby Hoffmann,Woody Norman,2,Mike Mills,Mike Mills,,21.0,737.0,1141.0,,181.0,Amérique du Nord
 France, JHR Films ,67,Feu follet,Fogo-Fatuo,8026,3,Mauro da Costa,André Cabral,Margarida Vila-Nova,3,João Pedro Rodrigues,João Pedro Rodrigues,João Rui Guerra da Mata,342.0,738.0,1142.0,794.0,182.0,Europe
 U.S.A., The Jokers / Les Bookmakers ,90,Sons of Philadelphia,The Sound of Philadelphia,15334,3,Matthias Schoenaerts,Joel Kinnaman,Maika Monroe,3,Jérémie Guez,Peter Dexter,Jérémie Guez,343.0,739.0,1143.0,183.0,622.0,Amérique du Nord
 Pays-Bas, The Jokers / Les Bookmakers ,70,"Chonchon, le plus mignon des cochons",Knor,6286,3,Hiba Ghafry,Matsen Montsma,Kees Prins,2,Mascha Halberstad,Fiona van Heemstra,,344.0,740.0,1144.0,,623.0,Europe
 Brésil, Optimale Distribution ,120,Le Champ des Possibles,Deserto Particular,640,3,Antonio Saboia,Pedro Fasanaro,Thomas Aquino,3,Aly Muritiba,Aly Muritiba,Henrique Dos Santos,345.0,741.0,1145.0,795.0,184.0,Amérique du Sud
 Belgique, Sony Pictures Releasing France ,91,Hopper et le hamster des ténèbres,Chickenhare and the Hamster of Darkness,211019,3,Thomas Solivérès,Chloé Jouannet,Nicolas Maury,3,Ben Stassen,Benjamin Mousquet,Dave Collard,346.0,742.0,1146.0,796.0,624.0,Europe
 Colombie, Nour Films ,136,L'Oubli que nous serons,El olvido que seremos,8267,3,Javier Cámara,Nicolas Reyes,Juan Pablo Urrego,2,Fernando Trueba,David Trueba,,347.0,743.0,1147.0,,625.0,Amérique du Sud
 Ukraine, Condor Distribution ,102,Le Serment de Pamfir,Pamfir,17829,3,Oleksandr Yatsentyuk,Stanislav Potiak,Solomiya Kyrylova,2,Dmytro Sukholytkyy-Sobchuk,Dmytro Sukholytkyy-Sobchuk,,348.0,744.0,1148.0,,186.0,Europe
 U.S.A., Paramount Pictures France ,97,Clifford,Clifford The Big Red Dog,163178,3,Russell Peters,Darby Camp,Jack Whitehall,3,Walt Becker,Jay Scherick,David Ronn,349.0,745.0,1149.0,797.0,626.0,Amérique du Nord
 Luxembourg, KMBO ,80,Magic !,My Fairy Troublemaker,44064,3,Shérine Seyad,Jella Haase,Marie Braun,2,Caroline Origer,Silja Clemens,,350.0,746.0,1150.0,,627.0,Europe
 France, Dulac Distribution ,116,Tel Aviv – Beyrouth,Tel-Aviv – Beirut,7188,3,Zalfa Seurat,Maayane Boganim,Shlomi Elkabetz,2,Michale Boganim,Michale Boganim,,351.0,747.0,1151.0,,187.0,Europe
 Norvège, Little KMBO ,80,Le Lion et les trois brigands,Folk og røvere i Kardemomme by,14023,0,,,,3,Rasmus A. Sivertsen,Karsten Fullu,Ingrid Haukelidsæter,,,,798.0,628.0,Europe
 Japon, CGR EVENTS ,97,Sword Art Online - Progressive - Aria of a Starless Night,Gekijouban Sword Art Online: Progressive - Hoshinaki Yoru no Aria,28400,3,Yoshitsugu Matsuoka,Haruka Tomatsu,Inori Minase,1,Ayako Kôno,,,64.0,60.0,1152.0,,,Asie
 Pays-Bas, Ed Distribution ,100,N°10,Nr. 10,3250,3,Tom Dewispelaere,Frieda Barnhard,Anniek Pheifer,2,Alex Van Warmerdam,Alex Van Warmerdam,,352.0,748.0,1153.0,,188.0,Europe
 Autriche, Optimale Distribution ,87,Sergent Major Eismayer,Eismayer,176,3,Gerhard Liebmann,Luka Dimic,Julia Koschitz,2,David Wagner (II),David Wagner (II),,353.0,749.0,1154.0,,189.0,Europe
 Tunisie, La Vingt-Cinquième Heure ,122,Amel & les fauves,Streams,1039,3,Afef Ben Mahmoud,Zeineb Sawen,Iheb Bouyahia,2,Mehdi Hmili,Mehdi Hmili,,354.0,750.0,1155.0,,190.0,Afrique
 Palestine, Dulac Distribution ,114,Fièvre Méditerranéenne,Mediterranean Fever,5745,3,Amer Hlehel,Ashraf Farah,Anat Hadid,2,Maha Haj,Maha Haj,,355.0,751.0,1156.0,,191.0,Asie
 U.S.A., Universal Pictures International France ,87,Spirit : l'indomptable,Spirit Untamed,118045,3,Isabela Merced,Marsai Martin,Mckenna Grace,4,Ennio Torresan Jr.,Elaine Bogan,Aury Wallington,356.0,100.0,115.0,799.0,629.0,Amérique du Nord
 France, StudioCanal ,83,Le Tour du monde en 80 jours,Around the World in 80 Days,163520,3,Damien Ferrette,Damien Ferrette,Julien Crampon,3,Samuel Tourneux,Gerry Swallow,David Michel,65.0,65.0,1157.0,800.0,630.0,Europe
 Belgique, Les Alchimistes ,98,Sea Sparkle,Zeevonk,102,3,Saar Rogiers,Lynn Van Royen,Sebastien Dewaele,3,Domien Huyghe,Domien Huyghe,Wendy Huyghe,357.0,752.0,1158.0,801.0,192.0,Europe
 Finlande, Urban Distribution ,99,L'Etrange histoire du coupeur de bois,Metsurin tarina,553,3,Jarkko Lahti,Hannu-Pekka Björkman,Iivo Tuuri,2,Mikko Myllylahti,Mikko Myllylahti,,358.0,753.0,1159.0,,193.0,Europe
 Espagne, Arizona Distribution ,64,Venez voir,Tenéis que venir a verla,7112,3,Itsaso Arana,Francesco Carril,Irene Escolar,2,Jonás Trueba,Jonás Trueba,,359.0,101.0,92.0,,194.0,Europe
 Italie, Le Pacte ,91,Seconde jeunesse,Astolfo,11387,3,Gianni Di Gregorio,Stefania Sandrelli,Alfonso Santagata,3,Gianni Di Gregorio,Gianni Di Gregorio,Marco Pettenello,360.0,754.0,1160.0,802.0,195.0,Europe
 République tchèque, Diaphana Distribution ,80,Ma famille afghane,My Sunny Maad,11763,3,Eliska Balzerova,Hynek Cermák,Berenika Kohoutová,3,Michaela Pavlatova,Ivan Arsenjev,Yaël Giovanna Lévy,361.0,755.0,1161.0,803.0,631.0,Europe
 Grande-Bretagne, ARP Sélection ,96,Un endroit comme un autre,Nowhere Special,5698,3,James Norton,Daniel Lamont,Carol Moore,2,Uberto Pasolini,Uberto Pasolini,,362.0,756.0,1162.0,,196.0,Europe
 Espagne, Wild Bunch Distribution ,100,Abuela,La abuela,45509,3,Almudena Amor,Vera Valdez,Karina Kolokolchykova,2,Paco Plaza,Carlos Vermut,,363.0,757.0,1163.0,,632.0,Europe
