,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
1450,la menace fantôme,115000000,133,2257203,1,fantasy, Tous publics ,PG,64820970.0,793,ufd,,1,1999,etats-unis
1451,la menace fantôme (3d),115000000,133,296406,1,fantasy, Tous publics ,PG,22469932.0,330,ufd,,1,2012,etats-unis
1452,la mentale,7700000,116,194738,0,aventure - action,,,,399,gbvi,,0,2002,france
1453,la momie,80000000,125,1013707,1,aventure - action, Tous publics ,PG,43369635.0,648,uip,,1,1999,etats-unis
1454,la momie (2017),125000000,107,474305,0,aventure - action, Tous publics ,PG,31688375.0,690,universal,,1,2017,etats-unis
1455,la momie 3 : la malédiction du dragon,175000000,114,695628,1,aventure - action, Tous publics ,PG,40457770.0,557,universal,,0,2008,etats-unis
1456,la montagne entre nous,35000000,103,129306,0,drame, Tous publics ,PG,10551336.0,206,20th century fox,,0,2017,etats-unis
1457,la mort dans la peau,75000000,108,479680,1,aventure - action, Tous publics ,PG,52521865.0,477,uip,,0,2004,etats-unis
1458,la mort de staline,11100000,106,61495,0,comédie dramatique,,R,184805.0,102,gaumont,,0,2018,france
1459,la mule,50000000,116,659999,0,thriller, Tous publics ,R,17509431.0,533,warner bros.,,0,2019,etats-unis
1460,la mutante,35000000,108,223019,0,science fiction, Moins de 12 ans ,R,17161943.0,170,uip,,0,1995,etats-unis
1461,la mécanique de l'ombre,5148833,93,124675,0,thriller, Tous publics ,,,241,océan films,,0,2017,france
1462,la mélodie,6113553,102,55571,0,comédie dramatique, Tous publics ,,,184,ugc distribution,,0,2017,france
1463,la mémoire dans la peau,75000000,118,391761,1,aventure - action,,PG,27118640.0,434,uip,,0,2002,etats-unis
1464,la méthode williams,50000000,138,90468,0,drame, Tous publics ,PG,5406033.0,223,warner bros.,,0,2021,etats-unis
1465,la môme,20757242,140,1573648,0,drame, Tous publics ,PG,179848.0,675,tfm distribution,,0,2007,france
1466,la neuvième porte,27440000,132,499344,0,thriller, Tous publics ,R,6622518.0,386,bac films,,0,1999,france
1467,la nouvelle femme,3600000,101,51632,0,drame, Tous publics ,,,203,ad vitam,,0,2024,france
1468,la nouvelle guerre des boutons,14932668,100,521424,0,comédie, Tous publics ,,4737.0,539,mars distribution,,0,2011,france
1469,la nuit au musée,120000000,108,694177,1,comédie, Tous publics ,PG,30433781.0,676,20th century fox,,1,2007,etats-unis
1470,la nuit au musée 2,150000000,105,638473,1,film familial, Tous publics ,PG,54173286.0,696,20th century fox,,1,2009,etats-unis
1471,la nuit au musée : le secret des pharaons,127000000,97,501154,1,film familial, Tous publics ,PG,17100520.0,630,20th century fox,,1,2015,etats-unis
1472,la nuit nous appartient,21000000,118,264579,0,thriller, Tous publics ,R,10826287.0,245,wild bunch,,0,2007,etats-unis
1473,la panthère rose,80000000,93,250854,1,film familial, Tous publics ,PG,20220412.0,504,20th century fox,,0,2006,etats-unis
1474,la passagère (2022),73364,93,35850,0,drame, Tous publics ,,,140,bac films,,0,2022,france
1475,la passion de dodin bouffant,6000000,134,94401,0,drame, Tous publics ,,130050.0,256,gaumont,,0,2023,france
1476,la passion du christ,30000000,127,613700,0,drame, Moins de 12 ans ,R,83848082.0,502,quinta distribution,,0,2004,etats-unis
1477,la peau que j'habite,10000000,117,210313,0,drame, Tous publics ,R,223119.0,281,pathé,,0,2011,Autre
1478,la petite,449871,93,206646,0,drame, Tous publics ,,,570,snd,,0,2023,france
1479,la petite sirène (2023),250000000,135,582814,0,film familial, Tous publics ,PG,95578040.0,578,walt disney pictures,,0,2023,etats-unis
1480,la pianiste,5320000,130,251544,0,drame, Moins de 16 ans ,,,205,mk2 diffusion,,0,2001,Autre
1481,la plage,50000000,119,1106607,0,drame, Tous publics ,R,15277921.0,521,ufd,,0,2000,etats-unis
1482,la planète au trésor,140000000,95,649655,0,animation, Tous publics ,PG,12083248.0,829,gbvi,,1,2002,etats-unis
1483,la planète des singes - suprématie,150000000,140,1016520,1,science fiction, Tous publics ,PG,56262929.0,645,20th century fox,,0,2017,etats-unis
1484,la planète des singes,100000000,119,1728196,0,science fiction, Tous publics ,PG,68532960.0,742,ufd,,1,2001,etats-unis
1485,la planète des singes : l'affrontement,170000000,130,1746921,1,science fiction, Tous publics ,PG,72611427.0,661,20th century fox,,0,2014,etats-unis
1486,la planète des singes: les origines,93000000,110,1321648,1,science fiction, Tous publics ,PG,54806191.0,702,20th century fox,,0,2011,etats-unis
1487,la porte des secrets,43000000,100,169890,0,horreur,,PG,16057945.0,247,uip,,0,2005,etats-unis
1488,la princesse et la grenouille,105000000,95,876083,0,animation, Tous publics ,PG,24208916.0,667,walt disney pictures,,0,2010,etats-unis
1489,la prochaine fois je viserai le coeur,4000000,111,190185,0,thriller, Tous publics ,,310.0,183,mars distribution,,0,2014,france
1490,la promesse (2017),90000000,134,27507,0,drame, Tous publics ,PG,4095718.0,80,films sans frontières,,0,2017,etats-unis
1491,la promesse d'une vie,22500000,111,56523,0,drame, Tous publics ,R,1220335.0,142,universal,,0,2015,Autre
1492,la promesse de l'aube (2017),24400000,130,250088,0,drame, Tous publics ,,,373,pathé,,0,2017,france
1493,la prophécie des ombres,42000000,119,183459,0,drame,,PG,11208851.0,288,snd,,0,2002,etats-unis
1494,la prophétie de l'horloge,42000000,106,243245,0,fantasy, Tous publics ,PG,26608020.0,345,universal,,0,2018,etats-unis
1495,la prophétie des grenouilles,5340000,90,96519,0,animation, Tous publics ,,,240,bac films,,0,2003,france
1496,la proposition (2009),40000000,108,303534,0,romance, Tous publics ,PG,33627598.0,323,walt disney pictures,,0,2009,etats-unis
1497,la rafle,19976200,115,812932,0,drame, Tous publics ,,,602,gaumont,,0,2010,france
1498,la rage au ventre,30000000,123,233016,0,drame, Tous publics ,R,16701294.0,196,snd,,1,2015,etats-unis
1499,la rançon,80000000,118,682241,0,aventure - action,,R,34216088.0,450,gbvi,,1,1997,etats-unis
1500,la recrue,46000000,115,159490,0,aventure - action,,PG,16302063.0,241,gbvi,,0,2003,etats-unis
1501,la reine des damnés,35000000,101,248920,0,thriller,,R,14757535.0,296,warner bros.,,0,2002,etats-unis
1502,la reine des neiges 2,150000000,104,2137267,1,animation, Tous publics ,PG,130263358.0,666,walt disney pictures,,0,2019,etats-unis
1503,la religieuse,5461348,114,105241,0,drame, Tous publics ,,,199,le pacte,,0,2013,france
1504,la revanche d'une blonde,18000000,96,121380,1,romance, Tous publics ,PG,20377426.0,230,ufd,,0,2001,etats-unis
1505,la revanche des sith,113000000,146,3303005,1,fantasy, Tous publics ,PG,108435841.0,938,20th century fox,,1,2005,etats-unis
1506,la ritournelle,4220236,98,114679,0,comédie, Tous publics ,,,228,snd,,0,2014,france
1507,la rivière sauvage,45000000,108,164113,0,aventure - action,,PG,10214450.0,256,uip,,1,1995,etats-unis
1508,la route,20000000,119,197280,0,science fiction, Moins de 12 ans ,R,1502231.0,201,metropolitan,,0,2009,etats-unis
1509,la route d'eldorado,90000000,90,197283,0,animation, Tous publics ,PG,12846652.0,411,uip,,1,2000,etats-unis
1510,la rumeur court,35000000,96,126446,0,romance,,PG,3473155.0,302,warner bros.,,0,2006,etats-unis
1511,la rupture (2006),52000000,106,291432,0,romance,,PG,39172785.0,299,uip,,0,2006,etats-unis
1512,la science des rêves,6000000,105,195631,0,comédie,,R,347925.0,244,gaumont sony,,0,2006,france
1513,la sirène rouge,5810000,118,121312,0,aventure - action, Moins de 12 ans ,,,308,haut et court,,0,2002,france
1514,la somme de toutes les peurs,68000000,124,272609,1,aventure - action, Tous publics ,PG,31178526.0,445,uip,,1,2002,etats-unis
1515,la source des femmes,7900000,124,233230,0,comédie dramatique, Tous publics ,,,322,europacorp,,0,2011,france
1516,la souris,38000000,99,306041,0,film familial, Tous publics ,PG,6062922.0,425,uip,,1,1998,etats-unis
1517,la stratégie ender,110000000,114,237725,0,science fiction, Tous publics ,PG,27017351.0,418,metropolitan,,0,2013,etats-unis
1518,la taupe,17490238,127,277172,0,thriller, Tous publics ,R,5478521.0,271,steward,,0,2012,Autre
1519,la tour sombre,60000000,94,193407,0,fantasy, Tous publics ,PG,19153698.0,290,sony pictures,,1,2017,etats-unis
1520,la tourneuse de pages,3070000,85,209560,0,drame,,,,200,diaphana,,0,2006,france
1521,la tête en friche,8270000,82,335335,0,comédie dramatique, Tous publics ,,20900.0,426,studiocanal,,0,2010,france
1522,la tête haute,5333950,119,250271,0,drame, Tous publics ,,7488.0,284,wild bunch,,0,2015,france
1523,la vache,5300000,91,338745,0,comédie, Tous publics ,,,230,pathé,,0,2016,france
1524,la vengeance dans la peau,110000000,111,584326,1,aventure - action, Tous publics ,PG,69283690.0,509,paramount,,0,2007,etats-unis
1525,la vengeance de monte cristo,40000000,131,28939,0,aventure - action, Tous publics ,PG,11376150.0,142,gbvi,,0,2002,etats-unis
1526,la vie aquatique,50000000,118,120257,0,comédie,,R,4547181.0,185,walt disney pictures,,0,2005,etats-unis
1527,la vie d'adèle,3986834,187,323457,0,comédie dramatique, Moins de 12 ans ,NC,100316.0,285,wild bunch,,0,2013,france
1528,la vie de david gale,38000000,142,194002,0,drame,,R,7117225.0,333,uip,,0,2003,etats-unis
1529,la vie est belle,7200000,117,684851,0,comédie dramatique, Tous publics ,PG,2830316.0,445,bac films,,0,1998,Autre
1530,la vie rêvée de walter mitty,90000000,116,427049,0,comédie, Tous publics ,PG,12765508.0,456,20th century fox,,0,2014,etats-unis
1531,la vie scolaire,5300000,111,485386,0,comédie dramatique, Tous publics ,,,375,gaumont,,0,2019,france
1532,la villa,3732376,107,193463,0,drame, Tous publics ,,,196,diaphana,,0,2017,france
1533,la voie de la justice,25000000,137,113153,0,drame, Tous publics ,PG,9713228.0,206,warner bros.,,0,2020,etats-unis
1534,la voix des morts,10000000,98,125191,0,thriller,,PG,24113565.0,127,uip,,0,2005,etats-unis
1535,la voix du pardon,7000000,110,12985,0,film familial, Tous publics ,PG,17099151.0,47,saje distribution,,0,2019,etats-unis
1536,la vénus à la fourrure,7848422,95,121751,0,comédie, Tous publics ,,26200.0,231,mars distribution,,1,2013,france
1537,la véritable histoire du chat botté,10070000,80,71886,0,animation, Tous publics ,,,315,mk2 diffusion,,0,2009,france
1538,la véritable histoire du petit chaperon rouge,15000000,95,240021,0,animation, Tous publics ,PG,12401900.0,410,bac films,,0,2006,etats-unis
1539,la vérité si je mens : les débuts,7990000,110,127768,1,comédie, Tous publics ,,,426,ugc distribution,,0,2019,france
1540,la vérité si je mens!,3860000,100,542034,1,comédie, Tous publics ,,,244,afmd,,0,1997,france
1541,la vérité si je mens! 2,12560000,105,2830489,1,comédie, Tous publics ,,,827,warner bros.,,0,2001,france
1542,la vérité si je mens! 3,25496628,119,1944022,1,comédie, Tous publics ,,,1051,mars distribution,,0,2012,france
1543,la fille coupée en deux,6720699,115,247078,0,drame,,,18658.0,292,wild bunch,,0,2007,france
1544,la voleuse de livres,35000000,125,67842,0,drame, Tous publics ,PG,4864861.0,201,20th century fox,,1,2014,etats-unis
1545,lady bird,10000000,93,133169,0,comédie dramatique, Tous publics ,R,4041733.0,204,universal,,0,2018,etats-unis
1546,lady vegas - les mémoires d'une joueuse,20000000,93,16256,0,comédie dramatique, Tous publics ,R,20998.0,73,wild bunch,,0,2012,etats-unis
1547,ladykillers,35000000,104,409006,0,comédie,,R,12634563.0,448,gbvi,,0,2004,etats-unis
1548,laisse-moi entrer,20000000,115,64832,0,horreur, Moins de 12 ans ,R,5147479.0,121,metropolitan,,0,2010,etats-unis
1549,lame de fond,38000000,125,44487,0,aventure - action, Tous publics ,PG,3908514.0,90,ufd,,0,1996,etats-unis
1550,lancelot,75000000,132,464781,0,aventure - action, Tous publics ,PG,10856442.0,377,columbia,,1,1995,etats-unis
1551,lara croft tomb raider: le berceau de la vie,95000000,117,650146,1,aventure - action, Tous publics ,PG,21783641.0,693,uip,,1,2003,etats-unis
1552,lara croft: tomb raider,80000000,100,1232897,1,aventure - action, Tous publics ,PG,47735743.0,692,uip,,0,2001,etats-unis
1553,largo winch,25005806,108,556147,1,aventure - action, Tous publics ,,2830.0,486,wild bunch,,1,2008,france
1554,largo winch 2,24147028,119,587514,1,aventure - action, Tous publics ,,,532,wild bunch,,1,2011,france
1555,larguées (2018),7000000,95,215864,0,comédie, Tous publics ,,,415,pathé,,0,2018,france
1556,las vegas 21,35000000,123,246410,0,comédie dramatique, Tous publics ,PG,24105943.0,294,sony pictures,,0,2008,etats-unis
1557,las vegas parano,18500000,118,112039,0,comédie, Moins de 12 ans ,R,3338590.0,170,bac films,,0,1998,etats-unis
1558,last action hero,85000000,130,636828,0,aventure - action, Tous publics ,PG,14238241.0,366,columbia,,0,1993,etats-unis
1559,last christmas,25000000,103,133658,0,romance, Tous publics ,PG,11441055.0,301,universal,,0,2019,Autre
1560,last dance!,40580,88,18534,0,comédie dramatique, Tous publics ,,,205,epicentre films,,0,2023,Autre
1561,last night,10000000,93,187573,0,drame, Tous publics ,R,32000.0,224,gaumont,,0,2011,etats-unis
1562,last vegas,28000000,90,114465,0,comédie, Tous publics ,PG,16334566.0,187,universal,,0,2013,etats-unis
1563,laurence anyways,6714286,159,30726,0,drame, Tous publics ,,,53,mk2 diffusion,,0,2012,Autre
1564,laurier blanc,16000000,110,37406,0,drame,,PG,5607480.0,130,,,1,2003,etats-unis
1565,le 13ème guerrier,85000000,112,496127,0,aventure - action, Tous publics ,R,10267756.0,497,metropolitan,,1,1999,etats-unis
1566,le 51ème état,27000000,91,104419,0,aventure - action, Tous publics ,R,2817719.0,287,metropolitan,,0,2002,etats-unis
1567,le baiser mortel du dragon,20980000,98,505980,0,aventure - action, Moins de 12 ans ,R,13304027.0,612,europacorp,,0,2001,france
1568,le bal de l'horreur (2008),18000000,88,50484,0,horreur, Moins de 12 ans ,PG,20804941.0,112,sony pictures,,0,2008,etats-unis
1569,le bon gros géant,140000000,117,322157,0,fantasy, Tous publics ,PG,18775350.0,758,metropolitan,,1,2016,etats-unis
1570,le bonheur des uns...,6500000,100,95111,0,comédie, Tous publics ,,,465,snd,,0,2020,france
1571,le bonhomme de neige,35000000,125,121112,0,thriller, Moins de 12 ans ,R,3372565.0,320,universal,,0,2017,Autre
1572,le book club,10000000,104,70496,0,comédie, Tous publics ,PG,13582231.0,276,paramount,,0,2018,etats-unis
1573,le bossu de notre dame,75000000,90,1085065,0,animation, Tous publics ,G,21037414.0,635,gbvi,,0,1996,etats-unis
1574,le brio,9730000,95,412414,0,comédie, Tous publics ,,,407,pathé,,0,2017,france
1575,le capital,6198508,113,202565,0,drame, Tous publics ,R,22400.0,259,mars distribution,,0,2012,france
1576,le cas richard jewell,45000000,129,385394,0,drame, Tous publics ,R,4680124.0,485,warner bros.,,0,2020,etats-unis
1577,le casse de central park,75000000,104,97963,0,comédie, Tous publics ,PG,24025190.0,201,universal,,0,2011,etats-unis
1578,le cercle - the ring,43000000,110,238526,1,horreur, Moins de 12 ans ,PG,15015393.0,374,uip,,1,2003,etats-unis
1579,le cercle - the ring 2,50000000,110,310690,1,horreur, Moins de 12 ans ,PG,35065237.0,402,uip,,1,2005,etats-unis
1580,le chacal,60000000,124,420487,0,aventure - action, Tous publics ,R,15164595.0,435,ufd,,0,1998,etats-unis
1581,le challenge,45000000,103,54361,0,comédie, Tous publics ,R,15002770.0,243,sony pictures,,0,2023,etats-unis
1582,le chant de la mer,5349256,85,74378,0,animation, Tous publics ,PG,21910.0,240,haut et court,,0,2014,Autre
1583,le chant du loup,20000000,115,448755,0,drame, Tous publics ,,,462,pathé,,0,2019,france
1584,le chaperon rouge,42000000,100,170969,0,fantasy, Tous publics ,PG,14005335.0,243,warner bros.,,0,2011,etats-unis
1585,le chardonneret,45000000,149,26000,0,drame, Tous publics ,R,2679027.0,240,warner bros.,,0,2019,etats-unis
1586,le chasseur de primes,40000000,106,149251,0,comédie, Tous publics ,PG,20686423.0,271,sony pictures,,0,2010,etats-unis
1587,le chasseur et la reine des glaces,115000000,114,391290,0,fantasy, Tous publics ,PG,19445035.0,520,universal,,1,2016,etats-unis
1588,le chat potté,130000000,91,1089789,0,animation, Tous publics ,PG,34077439.0,671,paramount,,0,2011,etats-unis
1589,le chat potté 2 : la dernière quête,85000000,100,495040,0,animation, Tous publics ,PG,12429515.0,700,universal,,0,2022,etats-unis
1590,le chat chapeauté,109000000,83,44812,0,film familial, Tous publics ,PG,38329160.0,198,uip,,0,2004,etats-unis
1591,le chihuahua de beverly hills,20000000,85,119666,0,film familial, Tous publics ,PG,29300465.0,294,walt disney pictures,,0,2009,etats-unis
1592,le choc des titans (2010),125000000,118,955263,0,péplum, Tous publics ,PG,61235105.0,576,warner bros.,,0,2010,etats-unis
1593,le chocolat,25000000,121,161893,0,comédie, Tous publics ,PG,1107766.0,216,bac films,,0,2001,etats-unis
1594,le château ambulant,24000000,119,345633,0,animation, Tous publics ,PG,427987.0,393,walt disney pictures,,0,2005,Autre
1595,le ciel attendra,3945000,104,88756,0,drame, Tous publics ,,,124,ugc distribution,,0,2016,france
1596,le cinquième pouvoir,28000000,128,27280,0,drame, Tous publics ,R,1673351.0,128,metropolitan,,0,2013,etats-unis
1597,le cinquième élément,75200000,126,1813448,0,science fiction, Tous publics ,PG,17031345.0,527,gbvi,,1,1997,france
1598,le client (1994),41000000,122,134530,0,aventure - action,,PG,17174262.0,200,warner bros.,,1,1994,etats-unis
1599,le club des empereurs,12500000,105,29963,0,drame,,PG,3846780.0,109,,,1,2003,etats-unis
1600,le club des ex,26000000,102,177209,0,comédie, Tous publics ,PG,18913411.0,228,uip,,0,1997,etats-unis
1601,le code a changé,10858096,100,762912,0,comédie dramatique, Tous publics ,,15378.0,523,studiocanal,,0,2009,france
1602,le collectionneur,27000000,116,208585,1,thriller, Moins de 12 ans ,R,13215167.0,157,uip,,0,1997,etats-unis
1603,le come back,40000000,96,414487,0,romance, Tous publics ,PG,13623630.0,350,warner bros.,,0,2007,etats-unis
1604,le complexe du castor,19000000,91,91336,0,comédie dramatique, Tous publics ,PG,107577.0,195,snd,,0,2011,etats-unis
1605,le concert,13200000,120,390181,0,drame, Tous publics ,PG,21742.0,335,europacorp,,0,2009,france
1606,le concile de pierre,20045158,100,133365,0,thriller, Tous publics ,,,377,ugc distribution,,0,2006,france
1607,le congrès,8682000,122,18080,0,animation, Tous publics ,,28640.0,106,arp selection,,0,2013,etats-unis
1608,le contrat (2007),25000000,97,74260,0,thriller, Tous publics ,,,140,metropolitan,,0,2007,etats-unis
1609,le corrupteur,45000000,105,65010,0,thriller, Moins de 12 ans ,R,5765300.0,194,metropolitan,,0,1999,etats-unis
1610,le cou de la girafe,4698500,88,108500,0,comédie, Tous publics ,,,209,ufd,,0,2004,france
1611,le coup du siècle (2019),21000000,94,120378,0,comédie, Tous publics ,PG,13007709.0,219,universal,,0,2019,etats-unis
1612,le couperet,5320000,122,260436,0,thriller,,,,244,mars distribution,,0,2005,france
1613,le crime de l'orient express (2017),55000000,114,351400,0,thriller,,PG,28681472.0,384,20th century fox,,0,2017,etats-unis
1614,le célibataire,21000000,98,64795,0,romance, Tous publics ,PG,7480288.0,140,metropolitan,,0,2000,etats-unis
1615,le cœur des hommes,5030000,107,332508,1,comédie,,,,337,bac films,,0,2003,france
1616,le cœur des hommes 2,9005464,115,580779,1,comédie, Tous publics ,,,517,pathé,,0,2007,france
1617,le cœur des hommes 3,8565554,114,265764,1,comédie, Tous publics ,,,486,diaphana,,0,2013,france
1618,le dahlia noir,50000000,120,231815,0,thriller, Moins de 12 ans ,R,10005895.0,299,metropolitan,,0,2006,etats-unis
1619,le daim,3900000,77,94460,0,comédie,,,,313,diaphana,,0,2019,france
1620,le dernier chasseur de sorcières,90000000,106,261102,0,fantasy, Moins de 12 ans ,PG,10812861.0,265,snd,,0,2015,etats-unis
1621,le dernier des templiers,40000000,113,368501,0,aventure - action, Tous publics ,PG,10612375.0,325,metropolitan,,0,2011,etats-unis
1622,le dernier duel,100000000,153,147221,0,aventure - action, Moins de 12 ans ,R,4759151.0,364,walt disney pictures,,0,2021,etats-unis
1623,le dernier maître de l'air,150000000,103,526009,0,aventure - action, Tous publics ,PG,40325019.0,477,paramount,,1,2010,etats-unis
1624,le dernier pub avant la fin du monde,20000000,109,58161,0,comédie, Tous publics ,R,8790237.0,110,universal,,0,2013,Autre
1625,le dernier rempart,45000000,107,156206,0,aventure - action, Tous publics ,R,6281433.0,390,metropolitan,,0,2013,etats-unis
1626,le dernier roi d'ecosse,6000000,121,92000,0,drame, Moins de 12 ans ,R,142899.0,103,20th century fox,,0,2007,Autre
1627,le dernier samouraï,140000000,144,729476,0,aventure - action,,R,24271354.0,600,warner bros.,,1,2004,etats-unis
1628,le dernier signe,11061272,83,98674,0,thriller,,,,404,carrere group,,0,2005,Autre
1629,le dernier vol,12300000,94,147699,0,aventure - action, Tous publics ,,,356,gaumont,,0,2009,france
1630,le deuxième souffle,21121564,156,260479,0,thriller, Tous publics ,,,586,arp selection,,0,2007,france
1631,le diable s'habille en prada,35000000,106,650335,0,comédie, Tous publics ,PG,27537244.0,505,20th century fox,,0,2006,etats-unis
1632,le discours d'un roi,15000000,118,494161,0,drame, Tous publics ,R,4498052.0,260,wild bunch,,1,2011,Autre
1633,le dragon des mers - la dernière légende,40000000,112,161685,0,fantasy, Tous publics ,PG,9186054.0,284,sony pictures,,1,2008,etats-unis
1634,le droit de tuer?,40000000,149,116014,0,thriller, Tous publics ,R,14823159.0,145,warner bros.,,0,1996,etats-unis
1635,le drôle de noël de scrooge,200000000,96,499094,0,animation, Tous publics ,PG,30051075.0,508,walt disney pictures,,1,2009,etats-unis
1636,le déshonneur d'elizabeth campbell,60000000,116,200935,0,aventure - action, Moins de 12 ans ,R,22332053.0,350,uip,,0,1999,etats-unis
1637,le dîner de cons,12500000,80,1157996,0,comédie, Tous publics ,PG,140942.0,404,gbvi,,1,1998,france
1638,le fabuleux destin d'amélie poulain,11710000,120,1185945,0,romance, Tous publics ,R,1323345.0,432,ufd,,0,2001,france
1639,le facteur,4870000,100,161239,0,drame,,PG,546589.0,92,gbvi,,0,1996,Autre
1640,le fan,55000000,110,96995,0,thriller,,R,6271406.0,162,amlf,,1,1997,etats-unis
1641,le fantôme de l'opéra,70000000,140,81562,0,musical,,PG,4001890.0,317,metropolitan,,0,2005,etats-unis
1642,le fils de l'autre,2700000,110,88017,0,comédie dramatique, Tous publics ,PG,125691.0,154,haut et court,,0,2012,france
1643,le fils à jo,6573831,95,338436,0,comédie, Tous publics ,,,98,gaumont,,0,2011,france
1644,le flic de belleville,15370000,111,248868,0,comédie, Tous publics ,,,512,metropolitan,,0,2018,france
1645,le flic de beverly hills 3,50000000,104,709142,1,comédie, Tous publics ,R,12426169.0,338,uip,,0,1994,etats-unis
1646,le flingueur (2011),40000000,100,122671,0,aventure - action, Moins de 12 ans ,R,11422006.0,193,metropolitan,,0,2011,etats-unis
1647,le fugitif,44000000,130,633114,1,aventure - action,,PG,23758855.0,337,warner bros.,,1,1993,etats-unis
1648,le gamin au vélo,5840000,87,107763,0,comédie dramatique, Tous publics ,PG,45933.0,172,diaphana,,0,2011,france
1649,le gardien du manuscrit sacré,52000000,103,47158,0,aventure - action, Tous publics ,PG,8653542.0,145,ufd,,1,2003,etats-unis
1650,le gendre de ma vie,8100000,100,140687,0,comédie, Tous publics ,,,368,pathé,,0,2018,france
1651,le goût de la vie,28000000,103,108309,0,romance, Tous publics ,PG,11704357.0,247,warner bros.,,0,2007,etats-unis
1652,le goût des autres,9000000,112,711458,0,comédie, Tous publics ,R,35775.0,315,pathé,,0,2000,france
1653,le goût des merveilles,5815566,100,92682,0,romance, Tous publics ,,,214,ugc distribution,,0,2015,france
1654,le grand bain,18940000,122,1527394,0,comédie dramatique, Tous publics ,,,638,studiocanal,,0,2018,france
1655,le grand jeu (2018),30000000,140,262258,0,thriller, Tous publics ,R,6856578.0,324,snd,,0,2018,etats-unis
1656,le grand méchant loup,9957741,107,136571,0,comédie, Tous publics ,,,340,mars distribution,,0,2013,france
1657,le grand partage,10695514,102,474661,0,comédie, Tous publics ,,,441,wild bunch,,0,2015,france
1658,le grand soir (2012),3200000,92,185066,0,comédie, Tous publics ,,,260,ad vitam,,0,2012,france
1659,le grand tournoi,30000000,95,264415,0,aventure - action, Tous publics ,PG,7029120.0,338,metropolitan,,0,1996,etats-unis
1660,le grinch,123000000,104,277456,0,comédie, Tous publics ,PG,55082330.0,591,uip,,1,2000,etats-unis
1661,le grinch (2018),75000000,90,581114,0,animation, Tous publics ,PG,67572855.0,592,universal,,0,2018,etats-unis
1662,le havre,3800000,98,141227,0,comédie dramatique, Tous publics ,,26363.0,164,pyramide,,0,2011,france
1663,le hobbit : la bataille des cinq armées,250000000,144,1789196,1,fantasy, Tous publics ,PG,54724334.0,914,warner bros.,,1,2014,etats-unis
1664,le hobbit : la désolation de smaug,250000000,161,1619507,1,fantasy, Tous publics ,PG,73645197.0,909,warner bros.,,1,2013,etats-unis
1665,le hobbit : un voyage inattendu,250000000,165,1434119,1,fantasy, Tous publics ,PG,84617303.0,958,warner bros.,,1,2012,etats-unis
1666,le huitième jour,9390000,118,332776,0,comédie, Tous publics ,PG,19983.0,240,polygram,,0,1996,france
1667,le hérisson,8005988,100,204716,0,comédie dramatique, Tous publics ,,,320,pathé,,0,2009,france
1668,le héros de la famille,12008862,103,226552,0,drame, Tous publics ,,,458,ugc distribution,,0,2006,france
1669,le jeu,7990000,90,429132,0,comédie dramatique, Tous publics ,,,470,mars distribution,,0,2018,france
1670,le jour d'après,125000000,124,1009004,0,catastrophe, Tous publics ,PG,68743584.0,726,ufd,,0,2004,etats-unis
1671,le jour où la terre s'arrêta (2008),80000000,102,484204,0,science fiction, Tous publics ,PG,30480153.0,606,20th century fox,,1,2008,etats-unis
1672,le journal de bridget jones,26000000,97,1034706,1,romance, Tous publics ,R,10733933.0,620,mars distribution,,0,2001,Autre
1673,le juge,50000000,141,82344,0,comédie dramatique, Tous publics ,R,13116226.0,183,warner bros.,,1,2014,etats-unis
1674,le labyrinthe de pan,7000000,119,177058,0,fantasy, Moins de 12 ans ,R,4502243.0,202,wild bunch,,0,2006,Autre
1675,le lion,14000000,95,253092,0,comédie, Tous publics ,,,714,pathé,,0,2020,france
1676,le livre d'eli,80000000,118,272763,0,aventure - action, Tous publics ,R,32789494.0,378,metropolitan,,0,2010,etats-unis
1677,le livre de la jungle (2016),175000000,106,1302847,0,aventure - action, Tous publics ,PG,103261464.0,653,walt disney pictures,,0,2016,etats-unis
1678,le livre de la jungle 2,20000000,75,623111,0,animation,,G,11441733.0,682,gbvi,,0,2003,etats-unis
1679,le lorax,70000000,95,242645,0,animation, Tous publics ,PG,70217070.0,645,universal,,0,2012,etats-unis
1680,le loup de wall street,100000000,179,1013324,0,drame, Moins de 12 ans ,R,18361578.0,633,metropolitan,,1,2013,etats-unis
1681,le majordome,25000000,125,378298,0,drame, Tous publics ,PG,24637312.0,265,metropolitan,,0,2013,etats-unis
1682,le manoir hanté,150000000,122,288762,0,fantasy, Tous publics ,PG,24082475.0,537,walt disney pictures,,0,2023,etats-unis
1683,le manoir hanté et ses 999 fantômes,90000000,88,381442,0,film familial, Tous publics ,PG,24278410.0,474,gbvi,,0,2004,etats-unis
1684,le mans 66,97600000,153,402917,0,drame, Tous publics ,PG,31474958.0,378,20th century fox,,0,2019,etats-unis
1685,le mariage de mon meilleur ami,46000000,105,558871,0,romance, Tous publics ,PG,21678377.0,314,columbia,,1,1997,etats-unis
1686,le masque de zorro,65000000,137,844801,1,aventure - action, Tous publics ,PG,22525855.0,595,columbia,,1,1998,etats-unis
1687,le masque de l'araignée,28000000,103,140736,1,thriller, Tous publics ,R,16712407.0,201,uip,,1,2001,etats-unis
