,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
636,deux frères,3999990,109,1083231,0,aventure - action, Tous publics ,PG,6144160.0,739,pathé,,0,2004,france
637,deux jours à tuer,8800000,85,302315,0,drame, Tous publics ,,,396,studiocanal,,0,2008,france
638,"deux jours, une nuit",6996705,95,218520,0,drame, Tous publics ,PG,30700.0,310,diaphana,,0,2014,france
639,deux moi,6380000,110,238161,0,comédie dramatique, Tous publics ,,,361,studiocanal,,0,2019,france
640,deux soeurs pour un roi,35000000,115,162306,0,drame, Tous publics ,PG,8203061.0,177,wild bunch,,0,2008,etats-unis
641,dialogue avec mon jardinier,8730000,110,321480,0,comédie, Tous publics ,,,513,studiocanal,,0,2007,france
642,die hard 4 - retour en enfer,110000000,130,1011566,1,aventure - action, Tous publics ,PG,33369559.0,749,20th century fox,,0,2007,etats-unis
643,die hard : belle journée pour mourir,92000000,97,830130,1,aventure - action, Tous publics ,R,24834845.0,650,20th century fox,,0,2013,etats-unis
644,diplomatie,3998726,84,134113,0,drame, Tous publics ,,8518.0,250,gaumont,,0,2014,france
645,dirty pretty things - loin de chez eux,10000000,107,104553,0,drame,,R,363218.0,165,tfm distribution,,0,2003,etats-unis
646,dirty papy,11500000,102,126264,0,comédie, Tous publics ,R,11111875.0,248,metropolitan,,0,2016,etats-unis
647,disjoncté,47000000,95,120866,0,comédie, Tous publics ,PG,19806226.0,266,columbia,,0,1996,etats-unis
648,divergente,85000000,143,475291,1,science fiction, Tous publics ,PG,54607747.0,550,snd,,1,2014,etats-unis
649,divergente 2 : l’insurrection,110000000,119,1172398,1,fantasy, Tous publics ,PG,52263680.0,615,snd,,0,2015,etats-unis
650,divergente 3 : au-delà du mur,110000000,121,787050,1,fantasy,,PG,29027348.0,654,snd,,0,2016,etats-unis
651,diversion,50000000,105,371490,0,comédie, Tous publics ,R,18685137.0,347,warner bros.,,0,2015,etats-unis
652,divertimento,4400000,110,80541,0,comédie dramatique, Tous publics ,,,282,le pacte,,0,2023,france
653,divine mais dangereuse,18000000,93,92944,0,comédie, Tous publics ,R,2520041.0,174,europacorp,,0,2001,etats-unis
654,divorce club,8000000,108,242669,0,comédie, Tous publics ,,,600,snd,,0,2020,france
655,django,8804249,115,185696,0,drame, Tous publics ,,11722.0,212,pathé,,0,2017,france
656,django unchained,100000000,165,1128810,0,western, Moins de 12 ans ,R,30122888.0,610,sony pictures,,0,2013,etats-unis
657,do not disturb,8002139,92,76708,0,comédie, Tous publics ,,,265,ugc distribution,,0,2012,france
658,docteur ?,5890000,88,222382,0,comédie, Tous publics ,,,414,apollo films,,0,2019,france
659,docteur frankenstein,40000000,109,106131,0,fantasy, Tous publics ,PG,2469341.0,224,20th century fox,,0,2015,etats-unis
660,docteur patch,50000000,115,233396,0,comédie, Tous publics ,PG,25262280.0,414,uip,,0,1999,etats-unis
661,docteur t. & les femmes,12000000,123,180321,0,romance, Tous publics ,R,5012867.0,206,snd,,0,2001,etats-unis
