titre,genres,langue,pays,pegi,duree,annee,director_x,scenaristes,casting_principal,casting_complet,actors,director_y,entrees_fr,nationalite,semaine_fr,studio,title,titre_original,continent
les blagues de toto 2 - classe verte,"['Comédie', 'Famille']",['Français'],France,Tous publics,84,2023,Pascal Bourdiaux,Pascal Bourdiaux,"['Pascal Bourdiaux', 'Thierry Coppée', 'Mathias Gavarry']","['Hugo Trophardy', 'Guillaume de Tonquédec', 'Anne Marivin', 'Valérie Karsenti', 'Pauline Clément', 'Sarah Stern', 'Nicolas Lumbreras', 'Barbara Bolotner', 'Gaël Raës', 'Jennaïa', 'Edouard Attipou', 'Anaïs Barba de Calignon', 'Isabelle Candelier', 'Laurent Bateau', 'Christophe Canard', 'Arsène Mosca', 'Audrey Devos', 'Chloé Petit']","Hugo Trophardy,Guillaume De Tonquédec,Anne Marivin","Pascal Bourdiaux,Mathias Gavarry",361350,france,02/08/2023,snd,les blagues de toto 2 - classe verte,pas de titre original,Europe
la bête dans la jungle,"['Drame', 'Musical']",['Français'],France,Tous publics,103,2023,Patric Chiha,Patric Chiha,"['Patric Chiha', 'Scénario', 'Henry James']","['Anaïs Demoustier', 'Tom Mercier', 'Béatrice Dalle', 'Martin Vischer', 'Sophie Demeyer', 'Pedro Cabanas', 'Mara Taquin', 'Bachir Tlili', 'Maxi Delmelle', 'Harpo Guit', 'Melrose Landa-Nzinga', 'Joel Bunganga', 'Madelief Graux', 'Nel Rivart', 'Abedissi Adeye', 'Marcos Arriola', 'Morgane Azoulay', 'Laurène Buchheit']","Anaïs Demoustier,Tom Mercier,Béatrice Dalle","Patric Chiha,Patric Chiha,Axelle Ropert",9056,france,16/08/2023,les films du losange,la bête dans la jungle,pas de titre original,Europe
le calendrier,"['Horreur', 'Thriller']","['Français', 'Allemand']",France,,104,2021,Patrick Ridremont,Patrick Ridremont,"['Patrick Ridremont', 'Patrick Ridremont', 'Casting principal']","['Eugénie Derouand', 'Honorine Magnier', 'Clément Olivieri', 'Janis Abrikh', 'Cyril Garnier', 'Vladimir Perrin', 'Jérôme Paquatte', 'Laura Presgurvic', 'Isabelle Tanakil', 'Jean-François Garreaud', 'Olivier Bonjour', 'Elsa Erroyaux', 'Jeanne Lambert', 'Fabio Zenoni', 'Stéphane Henry', 'Amanda Druart', 'Fabien Jegoudez', 'Sabrina Lopez Leonard']","Eugénie Derouand,Honorine Magnier,Clément Olivieri","Patrick Ridremont,Patrick Ridremont",27119,france,01/12/2021,alba films,le calendrier,pas de titre original,Europe
the green knight,"['Aventure', 'Drame', 'Fantastique']","['Latin', 'Anglais']",États-Unis,,130,2021,David Lowery,David Lowery,"['David Lowery', 'David Lowery', 'The Gawain Poet']","['Dev Patel', 'Alicia Vikander', 'Joel Edgerton', 'Sarita Choudhury', 'Anaïs Rizzo', 'Joe Anderson', 'Noelle Brown', 'Nita Mishra', 'Tara Mae', 'Atheena Frizzell', 'Sean Harris', 'Kate Dickie', 'Chris McHallem', 'Ralph Ineson', ""Emmet O'Brien"", 'Brendan Conroy', 'Donncha Crowley', 'Barry Keoghan']","Dev Patel,Alicia Vikander,Joel Edgerton","David Lowery,David Lowery",6784000,u.s.a.,2021/08/2021,,the green knight,pas de titre original,Amérique du Nord
eo,['Drame'],"['Polonais', 'Italien', 'Anglais', 'Français', 'Espagnol']",Pologne,Tous publics,88,2022,Jerzy Skolimowski,Jerzy Skolimowski,"['Jerzy Skolimowski', 'Ewa Piaskowska', 'Jerzy Skolimowski']","['Hola', 'Tako', 'Marietta', 'Ettore', 'Rocco', 'Mela', 'Sandra Drzymalska', 'Tomasz Organek', 'Mateusz Kosciukiewicz', 'Lorenzo Zurzolo', 'Isabelle Huppert', 'Lolita Chammah', 'Agata Sasinowska', 'Anna Rokita', 'Michal Przybyslawski', 'Gloria Iradukunda', 'Piotr Szaja', 'Aleksander Janiszewski']","Sandra Drzymalska,Tomasz Organek,Mateusz Kosciukiewicz","Jerzy Skolimowski,Ewa Piaskowska,Jerzy Skolimowski",47210,pologne,19/10/2022,arp sélection,eo,pas de titre original,Europe
"arthur, malédiction","['Horreur', 'Thriller']",['Français'],France,,87,2022,Barthélémy Grossmann,Barthélémy Grossmann,"['Barthélémy Grossmann', 'Luc Besson', 'Casting principal']","['Mathieu Berger', 'Thalia Besson', 'Yann Mendy', 'Jade Pedri', 'Marceau Ebersolt', 'Vadim Agid', 'Lola Andreoni', 'Mikaël Halimi', 'Ludovic Berthillot', 'Nacim Beliouz', 'Sanny Tahraoui', 'William Gay', 'Didier Manuel', 'Nabi Touré', 'Abdoulaye Dembele', 'Mahamadou Coulibaly', 'Ethan Houblon', ""M'Bar N'Diaye""]","Vadim Agid,Lola Andreoni,Mathieu Berger","Barthélémy Grossmann,Luc Besson",121393,france,29/06/2022,apollo films,"arthur, malédiction",pas de titre original,Europe
jujutsu kaisen 0,"['Animation', 'Action', 'Fantastique']",['Japonais'],Japon,Tous publics avec avertissement,105,2021,Sunghoo Park,Sunghoo Park,"['Sunghoo Park', 'Gege Akutami', 'Hiroshi Seko']","['Chinatsu Akasaki', 'Aya Endô', 'Kana Hanazawa', 'Show Hayami', 'Yu Hayashi', 'Satoshi Hino', 'Marina Inoue', 'Shizuka Itou', 'Mitsuo Iwata', 'Subaru Kimura', 'Mikako Komatsu', 'Rie Kugimiya', 'Takaya Kuroda', 'Risae Matsuda', 'Satsumi Matsuda', 'Yoshitsugu Matsuoka', ""Shin'ichirô Miki"", 'Kotono Mitsuishi']","Alexandre N'Guyen,Megumi Ogata,Alice Orsat","Sung-ho Park,Hiroshi Seko",347583,japon,16/03/2022,cgr events,jujutsu kaisen 0,gekijouban jujutsu kaisen 0,Asie
animalia,"['Drame', 'Science-fiction', 'Thriller']","['Français', 'Arabe', 'Langues berbères']",France,Tous publics,90,2023,Sofia Alaoui,Sofia Alaoui,"['Sofia Alaoui', 'Sofia Alaoui', 'Laurie Bost']","['Oumaima Barid', 'Mehdi Dehbi', 'Fouad Oughaou', 'Souad Khouyi', 'Rajaa Essaaidi', 'Az Elarab Kaghat', 'Mohamed Lahbib', 'Mohamed Oughaou', 'Khadija Chatir', 'Bouchra Bouyes', 'Naouim Boujaber', 'Hsain Bellahcen', 'Hssain Ghinich', 'Rabha Zaki', 'Oumaïma Oughaou', 'Douaa Baamti', 'Abdeljhak Baamti', 'Aziz Oukhatar']","Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou","Sofia Alaoui,Sofia Alaoui",5023,france,09/08/2023,ad vitam,animalia,pas de titre original,Europe
sabotage,"['Action', 'Policier', 'Drame']",['Anglais'],États-Unis,R,104,2022,Daniel Goldhaber,Daniel Goldhaber,"['Daniel Goldhaber', 'Scénario', 'Ariela Barer']","['Ariela Barer', 'Kristine Froseth', 'Lukas Gage', 'Forrest Goodluck', 'Sasha Lane', 'Jayme Lawson', 'Marcus Scribner', 'Jake Weary', 'Irene Bedard', 'Olive Jane Lorraine', 'Melissa Chambers', 'Giancarlo Beltran', 'Mariel Martinez', 'Jasper Keen', 'Halle Charlton', 'Adam Wyatt Tate', 'Loren Anthony', 'Mary Kay Riley']","Ariela Barer,Kristine Frøseth,Lukas Gage","Daniel Goldhaber,Daniel Goldhaber,Ariela Barer",12617,u.s.a.,26/07/2023,tandem,sabotage,how to blow up a pipeline,Amérique du Nord
the hunt,"['Action', 'Horreur', 'Thriller']","['Anglais', 'Arabe', 'Croate']",États-Unis,,90,2020,Craig Zobel,Craig Zobel,"['Craig Zobel', 'Nick Cuse', 'Damon Lindelof']","['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz', 'Wayne Duvall', 'Ethan Suplee', 'Emma Roberts', 'Christopher Berry', 'Sturgill Simpson', 'Kate Nowlin', 'Amy Madigan', 'Reed Birney', 'Glenn Howerton', 'Steve Coulter', 'Dean J. West', 'Vince Pisani', 'Teri Wyble', 'Steve Mokate', 'Sylvia Grace Crim']","Betty Gilpin,Hilary Swank,Wayne Duvall","Craig Zobel,Damon Lindelof,Nick Cuse",19864,u.s.a.,24/06/2020,universal pictures international france,the hunt,pas de titre original,Amérique du Nord
