titre,genres,langue,pays,pegi,duree,annee,director_x,scenaristes,casting_principal,casting_complet,actors,director_y,entrees_fr,nationalite,semaine_fr,studio,title,titre_original,continent
greenland - le dernier refuge,"['Action', 'Thriller']","['Anglais', 'Espagnol', 'Russe']",États-Unis,Tous publics,119,2020,Ric Roman Waugh,Ric Roman Waugh,"['Ric Roman Waugh', 'Chris Sparling', 'Casting principal']","['Gerard Butler', 'Morena Baccarin', 'Roger Dale Floyd', 'Scott Glenn', 'Randal Gonzalez', 'Rick Pasqualone', 'Nicola Lambo', 'Alan Pietruszewski', 'Scott Poythress', 'Claire Bronson', 'Madison Johnson', 'Gary Weeks', 'Tracey Bonner', 'Merrin Dungey', 'Brandon Miller', 'Mike Senior', 'Hayes Mercure', 'Esosa Idahosa']","Gerard Butler,Morena Baccarin,David Denman","Ric Roman Waugh,Chris Sparling",193402,u.s.a.,05/08/2020,metropolitan filmexport,greenland - le dernier refuge,greenland,Amérique du Nord
permis de construire,['Comédie'],['Français'],France,Tous publics,93,2021,Eric Fraticelli,Eric Fraticelli,"['Eric Fraticelli', 'Eric Fraticelli', 'Didier Bourdon']","['Didier Bourdon', 'Eric Fraticelli', 'Anne Consigny', 'Véronique Volta', 'Simon Abkarian', 'Michel Ferracci', 'Samuel Torres Bianconi', 'Didier Ferrari', 'Philippe Corti', 'Laurent Gamelon', 'Frédérique Bel', 'Jean-François Perrone', 'Daniel Russo', 'Frederic Poggi', 'Patrizia Gattacecca', 'Margaux Joannides', 'Yannick Rossi', 'Jean Menconi']","Didier Bourdon,Eric Fraticelli,Anne Consigny","Eric Fraticelli,Eric Fraticelli",211995,france,09/03/2022,warner bros. france,permis de construire,pas de titre original,Europe
passages,"['Drame', 'Romantique']","['Anglais', 'Français']",France,Tous publics avec avertissement,91,2023,Ira Sachs,Ira Sachs,"['Ira Sachs', 'Mauricio Zacharias', 'Ira Sachs']","['Franz Rogowski', 'Ben Whishaw', 'Adèle Exarchopoulos', 'Erwan Kepoa Falé', 'Arcadi Radeff', 'Léa Boublil', 'Théo Cholbi', 'William Nadylam', 'Tony Daoud', 'Sarah Lisbonis', 'Anton Salachas', 'Thibaut Carterot', 'Theo Gabilloux', 'Caroline Chaniolleau', 'Jérôme Dauchez', 'François Boisrond', 'Kylian Moison', 'Chloé Granier']","Franz Rogowski,Ben Whishaw,Adèle Exarchopoulos","Ira Sachs,Ira Sachs,Maurício Zacharias",11227,france,28/06/2023,sbs distribution,passages,pas de titre original,Europe
les colons,"['Policier', 'Drame', 'Historique']","['Espagnol', 'Anglais']",Chili,Tous publics avec avertissement,97,2023,Felipe Gálvez Haberle,Felipe Gálvez Haberle,"['Felipe Gálvez Haberle', 'Antonia Girardi', 'Felipe Gálvez Haberle']","['Sam Spruell', 'Mark Stanley', 'Alfredo Castro', 'Benjamin Westfall', 'Camilo Arancibia', 'Mariano Llinás', 'Marcelo Alonso', 'Emily Orueta', 'Mishell Guaña', 'Luis Machín', 'Heinz K. Krattiger', 'Adriana Stuven', 'Agustín Rittano']","Mark Stanley,Camilo Arancibia,Benjamin Westfall","Felipe Gálvez Haberle,Felipe Gálvez Haberle,Antonia Girardi",25953,chili,20/12/2023,dulac distribution,les colons,los colonos,Amérique du Sud
amsterdam,"['Comédie', 'Drame', 'Historique']","['Anglais', 'Français', 'Allemand', 'Portugais']",États-Unis,Tous publics,134,2022,David O. Russell,David O. Russell,"['David O. Russell', 'David O. Russell', 'Casting principal']","['Christian Bale', 'Margot Robbie', 'John David Washington', 'Alessandro Nivola', 'Andrea Riseborough', 'Anya Taylor-Joy', 'Chris Rock', 'Matthias Schoenaerts', 'Michael Shannon', 'Mike Myers', 'Taylor Swift', 'Timothy Olyphant', 'Zoe Saldana', 'Rami Malek', 'Robert De Niro', 'Mel Fair', 'Vaughn Page', 'Bonnie Hellman']","Christian Bale,Margot Robbie,John David Washington","David O. Russell,David O. Russell",24277,u.s.a.,26/10/2022,the walt disney company france,amsterdam,pas de titre original,Amérique du Nord
the french dispatch,"['Comédie', 'Drame', 'Romantique']","['Anglais', 'Français']",États-Unis,Tous publics,107,2021,Wes Anderson,Wes Anderson,"['Wes Anderson', 'Scénario', 'Wes Anderson']","['Benicio Del Toro', 'Adrien Brody', 'Tilda Swinton', 'Léa Seydoux', 'Frances McDormand', 'Timothée Chalamet', 'Lyna Khoudri', 'Jeffrey Wright', 'Mathieu Amalric', 'Steve Park', 'Bill Murray', 'Owen Wilson', 'Bob Balaban', 'Henry Winkler', 'Lois Smith', 'Tony Revolori', 'Denis Ménochet', 'Larry Pine']","Timothée Chalamet,Léa Seydoux,Bill Murray","Wes Anderson,Wes Anderson",197450,u.s.a.,27/10/2021,the walt disney company france,the french dispatch,pas de titre original,Amérique du Nord
mourir peut attendre,"['Action', 'Aventure', 'Thriller']","['Anglais', 'Français', 'Italien', 'Russe', 'Espagnol', 'Norvégien', 'Allemand']",Royaume-Uni,Tous publics,163,2021,Cary Joji Fukunaga,Cary Joji Fukunaga,"['Cary Joji Fukunaga', 'Scénario', 'Neal Purvis']","['Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Léa Seydoux', 'Lashana Lynch', 'Ralph Fiennes', 'Ben Whishaw', 'Naomie Harris', 'Rory Kinnear', 'Jeffrey Wright', 'Billy Magnussen', 'Christoph Waltz', 'David Dencik', 'Dali Benssalah', 'Lisa-Dorah Sonnet', 'Coline Defaud', 'Mathilde Bourbin', 'Hugh Dennis']","Daniel Craig,Léa Seydoux,Rami Malek","Cary Joji Fukunaga,Neal Purvis,Robert Wade",1384858,u.s.a.,06/10/2021,universal pictures international france,mourir peut attendre,no time to die,Europe
les aventures d'un mathématicien,"['Biographique', 'Drame']","['Anglais', 'Polonais']",Allemagne,,102,2020,Thor Klein,Thor Klein,"['Thor Klein', 'Thor Klein', 'Casting principal']","['Philippe Tlokinski', 'Esther Garrel', 'Sam Keeley', 'Joel Basman', 'Fabian Kociecki', 'Ryan Gage', 'Sabin Tambrea', 'Mateusz Wieclawek', 'James Sobol Kelly', 'Alberto Ruano', 'Richard Mason', 'Camille Moutawakil', 'Sally Cowdin', 'Anne-Catrin Wahls', 'Philipp Christopher', 'Lucy Bromilow', 'Martin Müller', 'Sonia Epstein']","Philippe Tlokinski,Esther Garrel,Sam Keeley","Thorsten Klein,Thorsten Klein",2047,,01/12/2021,rezo films,les aventures d'un mathématicien,adventures of a mathematician,Europe
l'appel de la forêt,"['Aventure', 'Drame', 'Famille']","['Anglais', 'Français']",États-Unis,Tous publics,100,2020,Chris Sanders,Chris Sanders,"['Chris Sanders', 'Michael Green', 'Jack London']","['Harrison Ford', 'Omar Sy', 'Cara Gee', 'Dan Stevens', 'Bradley Whitford', 'Jean Louisa Kelly', 'Michael Horse', 'Karen Gillan', 'Colin Woodell', 'Micah Fitzgerald', 'Heather McPhaul', 'Adam Fergus', 'Stephanie Czajkowski', 'Abraham Benrubi', 'Thomas Adoue Polk', 'Raven Scott', 'Brad Greenquist', 'Benjamin Hoffman']","Harrison Ford,Omar Sy,Dan Stevens","Chris Sanders,Michael Green",522494,u.s.a.,19/02/2020,the walt disney company france,l'appel de la forêt,,Amérique du Nord
the outfit,"['Policier', 'Drame', 'Mystère']","['Anglais', 'Français']",États-Unis,,105,2022,Graham Moore,Graham Moore,"['Graham Moore', 'Graham Moore', 'Johnathan McClain']","['Mark Rylance', 'Zoey Deutch', 'John Gumley-Mason', 'Stephen Knox', 'Steve Chatfield', 'Michal Forejtek', ""Dylan O'Brien"", 'Johnny Flynn', 'Johnathan McClain', 'Lauris Karklins', 'William Keetch', 'Scoop Wasserstein', 'Ryan Hall', 'Simon Russell Beale', 'Alan Mehdizadeh', 'Nikki Amuka-Bird', 'Chiedu Agborh', 'Michael Addo']","Mark Rylance,Dylan O'Brien,Johnny Flynn","Graham Moore,Graham Moore,Johnathan McClain",1510000,u.s.a.,18/03/2022,1 nomination,the outfit,pas de titre original,Amérique du Nord
les trolls 3,"['Animation', 'Aventure', 'Comédie']","['Anglais', 'Espagnol']",États-Unis,Tous publics,91,2023,Walt Dohrn,Walt Dohrn,"['Walt Dohrn', 'Tim Heitz', 'Elizabeth Tippet']","['Anna Kendrick', 'Justin Timberlake', 'Kenan Thompson', 'Walt Dohrn', 'Anderson .Paak', 'Ron Funches', 'Kunal Nayyar', 'David Fynn', 'Kevin Michael Richardson', 'Eric André', 'Daveed Diggs', 'Kid Cudi', 'Troye Sivan', 'Camila Cabello', 'Zosia Mamet', 'Amy Schumer', 'Andrew Rannells', 'Christopher Mintz-Plasse']"," Vitaa,Anna Kendrick,Matt Pokora","Tim Heitz,Walt Dohrn,Jonathan Aibel,Glenn Berger",419824,u.s.a.,18/10/2023,universal pictures international france,les trolls 3,trolls band together,Amérique du Nord
transformers: rise of the beasts,"['Action', 'Aventure', 'Science-fiction']","['Anglais', 'Espagnol']",États-Unis,Tous publics,127,2023,Steven Caple Jr.,Steven Caple Jr.,"['Steven Caple Jr.', 'Scénario', 'Joby Harold']","['Anthony Ramos', 'Dominique Fishback', 'Luna Lauren Velez', 'Dean Scott Vazquez', 'Tobe Nwigwe', 'Sarah Stiles', 'Leni Parker', 'Frank Marrs', 'Aidan Devine', 'Kerwin Jackson', 'Mike Chute', 'Tyler Hall', 'Sean Tucker', 'Jay Farrar', 'Lucas Huarancca', 'Amiel Cayo', 'Santusa Cupita', 'Yesenia Iquillay']","Anthony Ramos,Dominique Fishback,Luna Lauren Velez","Steven Caple Jr.,Jon Hoeber,Erich Hoeber",451052,u.s.a.,07/06/2023,paramount pictures france,transformers: rise of the beasts,pas de titre original,Amérique du Nord
les inséparables,"['Animation', 'Famille']",['Anglais'],Belgique,,90,2023,Jérémie Degruson,Jérémie Degruson,"['Jérémie Degruson', 'Scénario', 'Bob Barlen']","['Monica Young', 'Danny Fehsenfeld', 'Olivier Paris', 'Art Brown', 'Dakota West', 'Donte Paris', 'Jordan Baird']","Eric Judor,Jean-Pascal Zadi,Ana Girardot","Jérémie Degruson,Joel Cohen,Alec Sokolow",62664,belgique,13/12/2023,kmbo,les inséparables,the inseparables,Europe
le bonheur est pour demain,['Drame'],['Français'],France,,99,2023,Brigitte Sy,Brigitte Sy,"['Brigitte Sy', 'Christine Dory', 'Frédéric Serve']","['Laetitia Casta', 'Damien Bonnard', 'Béatrice Dalle', 'Guillaume Verdier', 'Coralie Russier', 'Sarah Le Picard', 'Malik Tadj', 'Félix Verhaverbeke', 'Nicolette Picheral', 'Azel Garrel-Casta', 'Eric Beauchamp', 'Karl Achard', 'Timéo Delmaet', 'Stéphane Duquenoy', 'Jérémy Brunet', 'Warren Bauwens', 'Solange Gomez', 'Damien Delemer']","Laetitia Casta,Damien Bonnard,Béatrice Dalle","Brigitte Sy,Brigitte Sy,Christine Dory",12916,france,31/01/2024,paradis films,le bonheur est pour demain,pas de titre original,Europe
thor: love and thunder,"['Action', 'Aventure', 'Comédie']",['Anglais'],Australie,Tous publics,118,2022,Taika Waititi,Taika Waititi,"['Taika Waititi', 'Scénario', 'Taika Waititi']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale', 'Tessa Thompson', 'Taika Waititi', 'Russell Crowe', 'Jaimie Alexander', 'Idris Elba', 'Chris Pratt', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Sean Gunn', 'Vin Diesel', 'Bradley Cooper', 'Carly Rees', 'Kat Dennings', 'Brett Goldstein']","Chris Hemsworth,Natalie Portman,Christian Bale","Taika Waititi,Taika Waititi,Jennifer Kaytin Robinson",1150926,u.s.a.,13/07/2022,the walt disney company france,thor: love and thunder,pas de titre original,Océanie
cruella,"['Aventure', 'Comédie', 'Policier']","['Anglais', 'Français']",États-Unis,Tous publics,134,2021,Craig Gillespie,Craig Gillespie,"['Craig Gillespie', 'Scénario', 'Dana Fox']","['Emma Stone', 'Emma Thompson', 'Joel Fry', 'Paul Walter Hauser', 'John McCrea', 'Emily Beecham', 'Mark Strong', 'Kayvan Novak', 'Kirby', 'Jamie Demetriou', 'Niamh Lynch', 'Andrew Leung', 'Ed Birch', 'Dylan Lowe', 'Paul Bazely', 'Abraham Popoola', 'Leo Bill', 'Ninette Finch']","Emma Stone,Emma Thompson,Joel Fry","Craig Gillespie,Tony McNamara,Dana Fox",379133,u.s.a.,23/06/2021,the walt disney company france,cruella,pas de titre original,Amérique du Nord
jack mimoun et les secrets de val verde,"['Aventure', 'Comédie']",['Français'],France,Tous publics,104,2022,Malik Bentalha,Malik Bentalha,"['Malik Bentalha', 'Ludovic Colbeau-Justin', 'Scénario']","['Malik Bentalha', 'Joséphine Japy', 'Jérôme Commandeur', 'François Damiens', 'Benoît Magimel', 'Amir Llyas', 'Christopher Gerber', ""Xavier d'Anjou"", 'Bastien Puttati', 'Eddy Leduc', 'Clément Barc', 'Niels Dubost', 'Antoine Bordes', 'Rosalie Peschard', 'Alexandra Merle', 'Samantha Livet', 'Mourad Winter', 'Anastasia Augst']","Malik Bentalha,Joséphine Japy,Jérôme Commandeur","Malik Bentalha,Ludovic Colbeau-Justin,Malik Bentalha,Tristan Schulmann",257163,france,12/10/2022,pathé,jack mimoun et les secrets de val verde,pas de titre original,Europe
fast & furious 9,"['Action', 'Policier', 'Thriller']","['Anglais', 'Japonais', 'Espagnol']",États-Unis,Tous publics,143,2021,Justin Lin,Justin Lin,"['Justin Lin', 'Scénario', 'Daniel Casey']","['Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris', 'Nathalie Emmanuel', 'Charlize Theron', 'John Cena', 'Finn Cole', 'Sung Kang', 'Anna Sawai', 'Helen Mirren', 'Kurt Russell', 'Lucas Black', 'Shad Moss', 'Thue Ersted Rasmussen', 'Don Omar', 'Shea Whigham']","Vin Diesel,Michelle Rodriguez,Jordana Brewster","Justin Lin,Daniel Casey,Justin Lin",1301589,u.s.a.,14/07/2021,universal pictures international france,fast & furious 9,f9 the fast saga,Amérique du Nord
une belle course,['Drame'],['Français'],France,Tous publics,91,2022,Christian Carion,Christian Carion,"['Christian Carion', 'Scénario', 'Cyril Gely']","['Line Renaud', 'Dany Boon', 'Alice Isaaz', 'Jérémie Laheurte', 'Gwendoline Hamon', 'Julie Delarme', 'Hadriel Roure', 'Thomas Alden', 'Christophe Rossignon', 'Elie Kaempfen', 'Christian Carion', 'Léonie Carion', 'Philippe Beautier', 'Meryl Mourey', 'Nadir Legrand', 'Sylvie Audcoeur', 'Tom Hudson', 'Juliette Steimer']","Line Renaud,Dany Boon,Alice Isaaz","Christian Carion,Cyril Gely",180034,france,21/09/2022,pathé,une belle course,pas de titre original,Europe
old,"['Drame', 'Horreur', 'Mystère']",['Anglais'],États-Unis,,108,2021,M. Night Shyamalan,M. Night Shyamalan,"['M. Night Shyamalan', 'M. Night Shyamalan', 'Pierre-Oscar Lévy']","['Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff', 'Thomasin McKenzie', 'Abbey Lee', 'Nikki Amuka-Bird', 'Ken Leung', 'Eliza Scanlen', 'Aaron Pierre', 'Embeth Davidtz', 'Emun Elliott', 'Alexa Swinton', 'Gustaf Hammarsten', 'Kathleen Chalfant', 'Francesca Eastwood', 'Nolan River', 'Luca Faustino Rodriguez']","Gael García Bernal,Vicky Krieps,Rufus Sewell","M. Night Shyamalan,M. Night Shyamalan",105841,u.s.a.,21/07/2021,universal pictures international france,old,pas de titre original,Amérique du Nord
free guy,"['Action', 'Aventure', 'Comédie']","['Anglais', 'Japonais', 'Allemand']",États-Unis,Tous publics,115,2021,Shawn Levy,Shawn Levy,"['Shawn Levy', 'Scénario', 'Matt Lieberman']","['Ryan Reynolds', 'Jodie Comer', 'Taika Waititi', 'Lil Rel Howery', 'Joe Keery', 'Utkarsh Ambudkar', 'Channing Tatum', 'Aaron W Reed', 'Britne Oldford', 'Camille Kostek', 'Mark Lainer', 'Mike Devine', 'Sophie Levy', 'Vernon Scott', 'Naheem Garcia', 'Anabel Graetz', 'Ric Plamenco', 'Kenneth Israel']","Ryan Reynolds,Jodie Comer,Lil Rel Howery","Shawn Levy,Matt Lieberman,Zak Penn",174093,u.s.a.,11/08/2021,the walt disney company france,free guy,pas de titre original,Amérique du Nord
thanksgiving : la semaine de l'horreur,"['Horreur', 'Mystère', 'Thriller']",['Anglais'],États-Unis,,106,2023,Eli Roth,Eli Roth,"['Eli Roth', 'Scénario', 'Jeff Rendell']","['Patrick Dempsey', 'Ty Olsson', 'Gina Gershon', 'Lynne Griffin', 'Karen Cliche', 'Nell Verlaque', 'Rick Hoffman', 'Derek McGrath', 'Katherine Trowell', 'Jalen Thomas Brooks', 'Mika Amonsen', 'Amanda Barker', 'Shailyn Griffin', 'Tim Dillon', 'Chris Sandiford', 'Addison Rae', 'Tomaso Sanelli', 'Jenna Warren']","Patrick Dempsey,Addison Rae,Milo Manheim","Eli Roth,Jeff Rendell",75871,u.s.a.,29/11/2023,sony pictures releasing france,thanksgiving : la semaine de l'horreur,thanksgiving,Amérique du Nord
m3gan,"['Horreur', 'Science-fiction', 'Thriller']",['Anglais'],États-Unis,,102,2022,Gerard Johnstone,Gerard Johnstone,"['Gerard Johnstone', 'Scénario', 'Akela Cooper']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng', 'Amie Donald', 'Jenna Davis', 'Brian Jordan Alvarez', 'Jen Van Epps', 'Stephane Garneau-Monten', 'Lori Dungey', 'Amy Usherwood', 'Jack Cassidy', 'Michael Saccente', 'Samson Chan-Boon', 'Kira Josephson', 'Renee Lyons', 'Millen Baird', 'Chelsie Preston Crayford', 'Arlo Green']","Allison Williams,Violet McGraw,Ronny Chieng","Gerard Johnstone,Akela Cooper",218120,u.s.a.,2022/01/2023,universal pictures international france,m3gan,pas de titre original,Amérique du Nord
les huit montagnes,['Drame'],"['Italien', 'Anglais', 'Népalais']",Italie,Tous publics,147,2022,Felix van Groeningen,Felix van Groeningen,"['Felix van Groeningen', 'Charlotte Vandermeersch', 'Paolo Cognetti']","['Lupo Barbiero', 'Cristiano Sassella', 'Elena Lietti', 'Chiara Jorrioz', 'Filippo Timi', 'Fiammetta Olivieri', 'Gualtiero Burzi', 'Adriano Favre', 'Andrea Palma', 'Francesco Palombelli', 'Alex Sassella', 'Luca Marinelli', 'Leandro Gago', 'Daniela De Pellegrin', 'Alessandro Borghi', 'Aurora Pernici', 'Ermes Piffer', 'Paolo Cognetti']","Luca Marinelli,Alessandro Borghi,Filippo Timi","Charlotte Vandermeersch,Felix Van Groeningen,Charlotte Vandermeersch,Felix Van Groeningen",29347,italie,21/12/2022,pyramide distribution,les huit montagnes,le otto montagne,Europe
augure,['Drame'],"['Français', 'Swahili', 'Lingala', 'Anglais']",Belgique,Tous publics,92,2023,Baloji,Baloji,"['Baloji', 'Baloji', 'Thomas van Zuylen']","['Marc Zinga', 'Yves-Marina Gnahoua', 'Marcel Otete Kabeya', 'Eliane Umuhire', 'Lucie Debay', 'Denis Mpunga', 'Bongeziwe Mabandla', 'Guetty Lembe', 'Linda Ikwa', 'Chimène Barthez', 'Romain Ndomba', 'Mordecaï Kamangu', 'Dylan Mata', 'Olive Mfumu Ntonto', 'Manacé Kashala', 'Delpierro Lombala', 'Serge Kakudji', 'Jeff Lubadi']","Marc Zinga,Yves-Marina Gnahoua,Marcel Otete Kabeya"," Baloji, Baloji",6565,allemagne,29/11/2023,pan distribution,augure,pas de titre original,Europe
le grand magasin,"['Animation', 'Aventure', 'Famille']",['Japonais'],Japon,Tous publics,70,2023,Yoshimi Itazu,Yoshimi Itazu,"['Yoshimi Itazu', 'Tsuchika Nishimura', 'Satomi Ôshima']","['Natsumi Kawaida', 'Takeo Otsuka', 'Nobuo Tobita', 'Megumi Han', 'Natsumi Fujiwara', 'Eiji Yoshitomi', 'Jun Fukuyama', 'Yûichi Nakamura', 'Kenjirô Tsuda', 'Danshun Tatekawa', 'Sumi Shimamoto', 'Minako Kotobuki', 'Hiroshi Yanaka', 'Hiroki Nanami', 'Marika Kôno', 'Kana Hanazawa', 'Kyôko Hikami', 'Miyu Irino']","Kawaida Natsumi,Takeo Otsuka,Nobuo Tobita","Yoshimi Itazu,Satomi Ohshima",16851,japon,06/12/2023,art house,le grand magasin,hokkyoku hyakkaten no concierge-san,Asie
close,['Drame'],"['Français', 'Flamand', 'Néerlandais', 'Anglais']",Belgique,Tous publics,104,2022,Lukas Dhont,Lukas Dhont,"['Lukas Dhont', 'Lukas Dhont', 'Angelo Tijssens']","['Eden Dambrine', 'Gustav De Waele', 'Émilie Dequenne', 'Léa Drucker', 'Igor van Dessel', 'Kevin Janssens', 'Marc Weiss', 'Léon Bataille', 'Serine Ayari', 'Robin Keyaert', 'Herman van Slambrouck', 'Iven Deduytschaver', 'Jeffrey Vanhaeren', 'Hélène Theunissen', 'Baptiste Bataille', 'Pieter Piron', 'Freya De Corte', 'Cachou Kirsch']","Eden Dambrine,Gustav De Waele,Emilie Dequenne","Lukas Dhont,Lukas Dhont,Angelo Tijssens",19030,belgique,26/10/2022,diaphana distribution,close,pas de titre original,Europe
super-bourrés,['Comédie'],['Français'],France,,79,2023,Bastien Milheau,Bastien Milheau,"['Bastien Milheau', 'Bastien Milheau', 'Casting principal']","['Pierre Gommé', 'Nina Poletto', 'Barbara Schulz', 'Amy Purshouse', 'Vincent Moscato', 'Jean Lassalle', 'Jason Chicandier', 'Clément Barennes', 'Bernard Mas', 'Gaëtan Boudoux', 'Guillaume Balmes', 'Daniel Bottacin', 'Sophie Fillières', 'Candide Sanchez', 'Adrien Guitton', 'Cécile Lacouture', 'Jean Boronnat', 'Eliot Sillon']","Pierre Gommé,Nina Poletto,Barbara Schulz","Bastien Milheau,Bastien Milheau",44873,france,30/08/2023,zinc film,super-bourrés,pas de titre original,Europe
black panther: wakanda forever,"['Action', 'Aventure', 'Drame']","['Anglais', 'Xhosa', 'Maya', 'Espagnol', 'Haïtien', 'Français']",États-Unis,Tous publics,161,2022,Ryan Coogler,Ryan Coogler,"['Ryan Coogler', 'Scénario', 'Ryan Coogler']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Angela Bassett', 'Tenoch Huerta', 'Martin Freeman', 'Julia Louis-Dreyfus', 'Dominique Thorne', 'Florence Kasumba', 'Michaela Coel', 'Alex Livinalli', 'Mabel Cadena', 'Michael B. Jordan', 'Isaach De Bankolé', 'Danny Sapani', 'Dorothy Steel', 'Zainab Jah']","Letitia Wright,Angela Bassett,Danai Gurira","Ryan Coogler,Ryan Coogler,Joe Robert Cole",1692183,u.s.a.,09/11/2022,the walt disney company france,black panther: wakanda forever,pas de titre original,Amérique du Nord
notre tout petit petit mariage,['Comédie'],['Français'],France,Tous publics,82,2023,Frédéric Quiring,Frédéric Quiring,"['Frédéric Quiring', 'Scénario', 'Frédéric Quiring']","['Ahmed Sylla', 'Camille Lou', 'Grégoire Bonnet', 'Marc Riso', 'Barbara Bolotner', 'Andréa Ferréol', 'Anne Caillon', 'Denis Mpunga', 'Marie-Sohna Condé', 'Anne Benoît', 'Jacqueline Corado', 'Hervé Lassïnce', 'Lola Marois-Bigard', 'Boubacar Kabo', 'Pakirathan Sulakshan', 'Lionel Laget', 'Christophe Héritier', 'Daniel Saïd']","Ahmed Sylla,Camille Lou,Grégoire Bonnet","Frédéric Quiring,Frédéric Quiring",178545,france,26/04/2023,ugc distribution,notre tout petit petit mariage,pas de titre original,Europe
shang-chi et la légende des dix anneaux,"['Action', 'Aventure', 'Fantastique']","['Anglais', 'Mandarin']",États-Unis,Tous publics,132,2021,Destin Daniel Cretton,Destin Daniel Cretton,"['Destin Daniel Cretton', 'Scénario', 'Dave Callaham']","['Simu Liu', 'Awkwafina', 'Tony Leung Chiu-wai', 'Ben Kingsley', ""Meng'er Zhang"", 'Fala Chen', 'Michelle Yeoh', 'Wah Yuen', 'Florian Munteanu', 'Andy Le', 'Paul W. He', 'Jayden Zhang', 'Elodie Fong', 'Arnold Sun', 'Stephanie Hsu', 'Kunal Dudheker', 'Tsai Chin', 'Jodi Long']","Simu Liu,Tony Leung Chiu-Wai, Awkwafina","Destin Daniel Cretton,Dave Callaham,Destin Daniel Cretton",481173,u.s.a.,01/09/2021,the walt disney company france,shang-chi et la légende des dix anneaux,shang-chi and the legend of the ten rings,Amérique du Nord
la dernière reine,"['Aventure', 'Drame', 'Historique']",['Arabe'],Algérie,Tous publics,110,2022,Adila Bendimerad,Adila Bendimerad,"['Adila Bendimerad', 'Damien Ounouri', 'Scénario']","['Adila Bendimerad', 'Dali Benssalah', 'Mohamed Tahar Zaoui', 'Imen Nouel', 'Nadia Tereszkiewicz', 'Yanis Aouine', 'Lila Touchi', 'Mina Lachter', 'Tenou Khilouli', 'Meriem Medjkane', 'Houria Bahloul', 'Souad Sebki', 'Nadjia Laaraf-Debbahi', 'Dimitri Boetto', 'Ahmed Zitouni', 'Wanis Hadj Mohamed', 'Israa Hadj Mohammed', 'Janna Hadj Mohammed']","Adila Bendimerad,Dali Benssalah,Mohamed Tahar Zaoui","Damien Ounouri,Adila Bendimerad,Damien Ounouri,Adila Bendimerad",21049,algérie,19/04/2023,jour2fête,la dernière reine,pas de titre original,Afrique
les amandiers,"['Comédie', 'Drame']","['Français', 'Anglais']",France,Tous publics,126,2022,Valeria Bruni Tedeschi,Valeria Bruni Tedeschi,"['Valeria Bruni Tedeschi', 'Scénario', 'Valeria Bruni Tedeschi']","['Nadia Tereszkiewicz', 'Sofiane Bennacer', 'Louis Garrel', 'Micha Lescot', 'Clara Bretheau', 'Noham Edje', 'Vassili Schneider', 'Eva Danino', 'Liv Henneguier', 'Baptiste Carrion-Weiss', 'Léna Garrel', 'Sarah Henochsberg', 'Oscar Lesage', 'Alexia Chardard', 'Suzanne Lindon', 'Sandra Nkake', 'Isabelle Renauld', 'Franck Demules']","Nadia Tereszkiewicz,Sofiane Bennacer,Louis Garrel","Valeria Bruni Tedeschi,Valeria Bruni Tedeschi,Noémie Lvovsky",104057,france,16/11/2022,ad vitam,les amandiers,pas de titre original,Europe
decision to leave,"['Policier', 'Drame', 'Mystère']","['Coréen', 'Mandarin', 'Anglais']",Corée du Sud,Tous publics,139,2022,Park Chan-wook,Park Chan-wook,"['Park Chan-wook', 'Park Chan-wook', 'Chung Seo-kyung']","['Park Hae-il', 'Tang Wei', 'Lee Jung-hyun', 'Go Kyung-pyo', 'Shin-Young Kim', 'Jung Young-sook', 'Yoo Seung-mok', 'Teo Yoo', 'Park Jeong-min', 'Seo Hyun-woo', 'Jeong Ha-dam', 'Lee Hak-joo', 'Jung Yi-seo', 'Park Yong-woo']","Tang Wei,Park Hae-il,Jung-hyun Lee","Park Chan-Wook,Park Chan-Wook,Seo-kyeong Jeong",103303,corée du sud,29/06/2022,bac films,decision to leave,heojil kyolshim,Asie
bloodshot,"['Action', 'Aventure', 'Science-fiction']","['Anglais', 'Persan']",États-Unis,,109,2020,Dave Wilson,Dave Wilson,"['Dave Wilson', 'Scénario', 'Jeff Wadlow']","['Vin Diesel', 'Eiza González', 'Sam Heughan', 'Toby Kebbell', 'Talulah Riley', 'Lamorne Morris', 'Guy Pearce', 'Jóhannes Haukur Jóhannesson', 'Alex Hernandez', 'Siddharth Dhananjay', 'Tamer Burjaq', 'Clyde Berning', 'David Dukas', 'Charlie Bouguenon', 'Tyrel Meyer', 'Frans Steyn', 'David Davadoss', 'Alex Anlos']","Vin Diesel,Eiza Gonzalez,Sam Heughan","Dave Wilson (II),Jeff Wadlow,Eric Heisserer",9176695,u.s.a.,20/03/2020,sony pictures releasing france,bloodshot,pas de titre original,Amérique du Nord
