film_id,titre,date,budget,genres,pays,nationalite,duree,franchise,remake,popularite_score,score,nombre_vote,semaine_fr,semaine_usa,entrees_fr,entrees_usa,langue,pegi,annee,titre_original
14308,tombés du camion,,,comédie,france,france,89.0,,,,,,,,78789.0,,français,,2024.0,
14309,la promesse verte,,,drame,france,france,120.0,,,,,,,,176281.0,,"français, indonésien, anglais",,2024.0,
14310,cocorico,,,comédie,france,france,92.0,,,,,,,,584706.0,,"français, allemand, portugais, anglais",,2024.0,
14311,black tea,,,drame,france,france,110.0,,,,,,,,36556.0,,"mandarin, anglais, français, portugais",,2024.0,
14312,pas de vagues,,,drame,france,france,91.0,,,,,,,,170817.0,,français,,2024.0,
14313,chien de la casse,,,comédie,france,france,93.0,,,,,,,,20877.0,,français,Tous publics,2023.0,
14314,vampire humaniste cherche suicidaire consentant,,,comédie,canada,canada,90.0,,,,,,,,7945.0,,français,,2023.0,
14315,les choses humaines,,,drame,france,france,138.0,,,,,,,,89353.0,,français,Tous publics,2021.0,
14316,le royaume des abysses,,,animation,chine,chine,112.0,,,,,,,,79728.0,,mandarin,Tous publics avec avertissement,2023.0,shen hai
14317,le successeur,,,drame,france,france,112.0,,,,,,,,33121.0,,français,,2023.0,
14318,chroniques de téhéran,,,drame,iran,iran,77.0,,,,,,,,33572.0,,"persan, anglais",,2023.0,ayeh haye zamini
14319,rien ni personne,,,thriller,france,france,78.0,,,,,,,,1209.0,,français,,2023.0,
14320,les rois de la piste,,,comédie,france,france,118.0,,,,,,,,38177.0,,français,Tous publics,2023.0,
14321,yannick,,,comédie,france,france,67.0,,,,,,,,130879.0,,français,Tous publics,2023.0,
14322,argylle,,,action,royaume-uni,grande-bretagne,139.0,,,,,,,,219098.0,,anglais,PG-13,2024.0,
14323,the gentlemen,,,action,royaume-uni,u.s.a.,0.0,,,,,,,,238040.0,,anglais,,,
14324,je verrai toujours vos visages,,,drame,france,france,118.0,,,,,,,,282292.0,,français,Tous publics,2023.0,
14325,paternel,,,drame,france,france,93.0,,,,,,,,23219.0,,français,Tous publics,2024.0,
14326,laissez-moi,,,drame,france,suisse,93.0,,,,,,,,11013.0,,français,,2023.0,
14327,migration,,,animation,états-unis,u.s.a.,83.0,,,,,,,,266863.0,,anglais,PG,2023.0,
14328,eureka,,,aventure,états-unis,argentine,0.0,,,,,,,,5318.0,,anglais,,,
14329,mis hermanos,,,drame,chili,chili,85.0,,,,,,,,4110.0,,espagnol,,2021.0,mis hermanos sueñan despiertos
14330,inchallah un fils,,,drame,jordanie,jordanie,113.0,,,,,,,,14474.0,,arabe,Tous publics,2023.0,inshallah walad
14331,débâcle,,,drame,belgique,belgique,111.0,,,,,,,,4156.0,,néerlandais,,2023.0,het smelt
14332,bob marley: one love,,,biographique,états-unis,u.s.a.,107.0,,,,,,,,772865.0,,anglais,PG-13,2024.0,
14333,blue giant,,,animation,japon,japon,120.0,,,,,,,,10174.0,,japonais,Tous publics,2023.0,
14334,perfect days,,,drame,japon,allemagne,124.0,,,,,,,,103232.0,,"japonais, anglais",Tous publics,2023.0,
14335,tiger stripes,,,horreur,malaisie,malaisie,95.0,,,,,,,,2091.0,,malais,,2023.0,
14336,los delincuentes,,,comédie,argentine,argentine,189.0,,,,,,,,15506.0,,espagnol,Unrated,2023.0,
14337,mystère à venise,,,policier,états-unis,grande-bretagne,103.0,,,,,,,,250148.0,,"anglais, italien, français, latin",Tous publics avec avertissement,2023.0,a haunting in venice
14338,le livre des solutions,,,comédie,france,france,102.0,,,,,,,,188920.0,,"français, anglais",Tous publics,2023.0,
14339,le pire voisin au monde,,,comédie,suède,u.s.a.,126.0,,,,,,,,67470.0,,"anglais, espagnol",Tous publics,2022.0,a man called otto
14340,the sweet east,,,drame,états-unis,u.s.a.,104.0,,,,,,,,5733.0,,"anglais, arabe, langues apaches",,2023.0,
14341,cabrini,,,biographique,états-unis,u.s.a.,142.0,,,,,,,,1062.0,,anglais,PG-13,2024.0,
14342,au fil des saisons,,,comédie,belgique,france,93.0,,,,,,,,19143.0,,anglais,,2024.0,
14343,inestimable,,,comédie,france,france,93.0,,,,,,,,137335.0,,français,Tous publics,2023.0,
14344,quest-ce quon a tous fait au bon dieu ?,,,comédie,france,france,98.0,,,,,,,,874683.0,,"français, chinois, arabe, allemand, anglais",Tous publics,2021.0,
14345,il ny a pas dombre dans le désert,,,drame,france,israël,101.0,,,,,,,,5019.0,,français,,2024.0,
14346,le théorème de marguerite,,,drame,france,france,112.0,,,,,,,,53400.0,,"anglais, français",Tous publics,2023.0,
14347,chien et chat,,,animation,france,france,86.0,,,,,,,,314952.0,,français,Tous publics,2024.0,
14348,la tresse,,,drame,france,france,121.0,,,,,,,,306073.0,,no language,,2023.0,
14349,"léo, la fabuleuse histoire de léonard de vinci",,,animation,états-unis,irlande,100.0,,,,,,,,87482.0,,anglais,Tous publics,2023.0,the inventor
14350,barbie,,,aventure,états-unis,u.s.a.,114.0,,,,,,,,1680490.0,,"anglais, espagnol",Tous publics,2023.0,
14351,dans la mêlée,,,drame,royaume-uni,grande-bretagne,134.0,,,,,,,,1753.0,,anglais,Unrated,2022.0,in from the side
14352,le consentement,,,biographique,france,france,119.0,,,,,,,,59266.0,,français,,2023.0,
14353,may december,,,comédie,états-unis,u.s.a.,117.0,,,,,,,,118770.0,,anglais,Tous publics,2023.0,
14354,le secret de la cité perdue,,,action,états-unis,u.s.a.,112.0,,,,,,,,317713.0,,"anglais, espagnol, latin",Tous publics,2022.0,the lost city
14355,lamour et les forêts,,,drame,france,france,105.0,,,,,,,,220327.0,,français,Tous publics avec avertissement,2023.0,
14356,en eaux très troubles,,,action,états-unis,u.s.a.,116.0,,,,,,,,696823.0,,anglais,Tous publics avec avertissement,2023.0,meg 2: the trench
14357,le molière imaginaire,,,comédie,france,france,94.0,,,,,,,,31266.0,,français,Tous publics,2024.0,
14358,chasse gardée,,,comédie,france,france,101.0,,,,,,,,329408.0,,français,,2023.0,
14359,3 jours max,,,action,france,france,90.0,,,,,,,,872669.0,,français,Tous publics,2023.0,
14360,20 000 espèces dabeilles,,,drame,espagne,espagne,128.0,,,,,,,,15669.0,,"espagnol, basque, français",Tous publics,2023.0,20.000 especies de abejas
14361,une année difficile,,,comédie,france,france,120.0,,,,,,,,424007.0,,français,Tous publics,2023.0,
14362,simple comme sylvain,,,comédie,canada,canada,110.0,,,,,,,,77363.0,,français,Tous publics,2023.0,
14363,les segpa au ski,,,comédie,france,france,101.0,,,,,,,,344268.0,,français,Tous publics,2023.0,
14364,le dernier des juifs,,,comédie,france,france,89.0,,,,,,,,64165.0,,français,,2024.0,
14365,opération portugal 2: la vie de château,,,comédie,france,france,93.0,,,,,,,,122868.0,,français,Tous publics,2024.0,
14366,lété dernier,,,drame,france,france,104.0,,,,,,,,58358.0,,français,Tous publics avec avertissement,2023.0,
14367,winter break,,,comédie,états-unis,u.s.a.,133.0,,,,,,,,57639.0,,anglais,Tous publics,2023.0,the holdovers
14368,vincent doit mourir,,,comédie,france,france,115.0,,,,,,,,23621.0,,français,,2023.0,
14369,iron claw,,,biographique,états-unis,grande-bretagne,132.0,,,,,,,,46627.0,,anglais,R,2023.0,the iron claw
14370,second tour,,,comédie,france,france,95.0,,,,,,,,464003.0,,français,Tous publics,2023.0,
14371,saltburn,,,drame,royaume-uni,u.s.a.,131.0,,,,,,,,1860650.0,,anglais,R,2023.0,
14372,morbius,,,action,états-unis,u.s.a.,104.0,,,,,,,,403848.0,,"anglais, espagnol, russe",Tous publics avec avertissement,2022.0,
14373,napoléon,,,action,états-unis,grande-bretagne,158.0,,,,,,,,764419.0,,"anglais, français, russe, allemand, italien",Tous publics avec avertissement,2023.0,napoleon
14374,gran turismo,,,action,états-unis,u.s.a.,134.0,,,,,,,,382349.0,,anglais,Tous publics,2023.0,gran turismo: based on a true story
14375,little girl blue,,,documentaire,france,france,95.0,,,,,,,,26508.0,,français,Tous publics,2023.0,
14376,le garçon et le héron,,,animation,japon,japon,124.0,,,,,,,,702835.0,,"japonais, anglais",Tous publics,2023.0,kimi-tachi wa dō ikiru ka
14377,walk up,,,drame,corée du sud,corée du sud,97.0,,,,,,,,4421.0,,coréen,,2022.0,tab
14378,green border,,,drame,pologne,pologne,147.0,,,,,,,,18130.0,,"polonais, arabe, anglais, français",Tous publics,2023.0,zielona granica
14379,godzilla minus one,,,action,japon,japon,124.0,,,,,,,,263.0,,japonais,Tous publics,2023.0,
14380,je ne suis pas un héros,,,comédie,france,france,100.0,,,,,,,,46091.0,,français,Tous publics,2023.0,
14381,mon héroïne,,,biographique,france,france,108.0,,,,,,,,59453.0,,anglais,Tous publics,2022.0,
14382,les feuilles mortes,,,comédie,finlande,finlande,81.0,,,,,,,,111219.0,,"finnois, arabe",Tous publics,2023.0,kuolleet lehdet
14383,violent night,,,action,états-unis,u.s.a.,112.0,,,,,,,,88083.0,,anglais,Tous publics avec avertissement,2022.0,
14384,the creator,,,action,états-unis,u.s.a.,133.0,,,,,,,,262507.0,,"anglais, thai",Tous publics,2023.0,
14385,comme par magie,,,comédie,france,france,93.0,,,,,,,,101739.0,,français,,2023.0,
14386,rien à perdre,,,action,états-unis,france,98.0,,,,,,,,84320.0,,anglais,Tous publics,1997.0,
14387,vermines,,,horreur,france,france,106.0,,,,,,,,69531.0,,français,,2023.0,
14388,sous le tapis,,,comédie,france,france,98.0,,,,,,,,24474.0,,français,Tous publics,2023.0,
14389,sick of myself,,,drame,norvège,norvège,97.0,,,,,,,,14638.0,,"norvégien, suédois, anglais",Tous publics,2022.0,
14390,shikun,,,drame,israël,israël,84.0,,,,,,,,1030.0,,"français, hébreu, arabe, yiddish",Tous publics,2024.0,
14391,à lintérieur,,,horreur,france,grèce,82.0,,,,,,,,2654.0,,français,,2007.0,inside
14392,les herbes sèches,,,drame,turquie,turquie,197.0,,,,,,,,32179.0,,turc,Tous publics,2023.0,kuru otlar üstüne
14393,conann,,,action,belgique,france,105.0,,,,,,,,8594.0,,"français, anglais, allemand",,2023.0,
14394,les segpa,,,comédie,france,france,99.0,,,,,,,,228318.0,,français,Tous publics,2022.0,
14395,linnocence,,,drame,japon,japon,127.0,,,,,,,,63240.0,,"japonais, anglais",Tous publics,2023.0,kaibutsu
14396,dogman,,,policier,france,france,113.0,,,,,,,,139989.0,,"anglais, espagnol",Tous publics avec avertissement,2023.0,
14397,the flash,,,action,états-unis,u.s.a.,144.0,,,,,,,,388700.0,,anglais,Tous publics,2023.0,
14398,amants,,,drame,france,france,102.0,,,,,,,,136003.0,,"français, anglais",Tous publics,2020.0,
14399,aquaman et le royaume perdu,,,action,états-unis,u.s.a.,124.0,,,,,,,,552105.0,,anglais,Tous publics,2023.0,aquaman and the lost kingdom
14400,everything everywhere all at once,,,action,états-unis,u.s.a.,139.0,,,,,,,,132121.0,,"anglais, mandarin, cantonais",Tous publics,2022.0,
14401,the fabelmans,,,drame,états-unis,u.s.a.,151.0,,,,,,,,367332.0,,anglais,Tous publics,2022.0,
14402,le ravissement,,,drame,france,france,97.0,,,,,,,,29163.0,,"français, serbe",Tous publics,2023.0,
14403,the marvels,,,action,états-unis,u.s.a.,105.0,,,,,,,,369007.0,,"anglais, urdu",Tous publics,2023.0,
14404,equalizer 3,,,action,états-unis,u.s.a.,109.0,,,,,,,,378764.0,,"anglais, italien",,2023.0,the equalizer 3
14405,élémentaire,,,animation,états-unis,u.s.a.,101.0,,,,,,,,426818.0,,anglais,Tous publics,2023.0,elemental
14406,nome,,,drame,guinée-bissau,guinée-bissau,118.0,,,,,,,,399.0,,portugais,,2023.0,
14407,un coup de dés,,,drame,france,france,85.0,,,,,,,,221196.0,,français,Tous publics,2023.0,
14408,oss 117: alerte rouge en afrique noire,,,action,france,france,117.0,,,,,,,,685878.0,,"français, russe, allemand",Tous publics,2021.0,
14409,le chat potté 2 : la dernière quête,,,animation,états-unis,u.s.a.,102.0,,,,,,,,502167.0,,"anglais, russe, espagnol, ukrainien",Tous publics,2022.0,puss in boots: the last wish
14410,la voie royale,,,drame,france,france,107.0,,,,,,,,35015.0,,français,Tous publics,2023.0,
14411,le dernier voyage du demeter,,,fantastique,états-unis,u.s.a.,118.0,,,,,,,,82375.0,,anglais,,2023.0,the last voyage of the demeter
14412,sound of freedom,,,biographique,mexique,u.s.a.,131.0,,,,,,,,63782.0,,"anglais, espagnol",Tous publics,2023.0,
14413,irréductible,,,comédie,france,france,83.0,,,,,,,,1550.0,,"suédois, français",Tous publics,2022.0,
14414,misanthrope,,,action,états-unis,u.s.a.,119.0,,,,,,,,100146.0,,anglais,Tous publics,2023.0,to catch a killer
14415,the covenant,,,action,royaume-uni,grande-bretagne,123.0,,,,,,,,6380190.0,,"anglais, dari",R,2023.0,
14416,un métier sérieux,,,comédie,france,france,101.0,,,,,,,,215443.0,,français,Tous publics,2023.0,
14417,the whale,,,drame,états-unis,u.s.a.,117.0,,,,,,,,65064.0,,anglais,Tous publics,2022.0,
14418,bullet train,,,action,japon,u.s.a.,127.0,,,,,,,,491067.0,,"anglais, japonais, espagnol, russe",,2022.0,
14419,priscilla,,,biographique,italie,u.s.a.,113.0,,,,,,,,144773.0,,anglais,R,2023.0,
14420,barbaque,,,comédie,france,france,87.0,,,,,,,,126252.0,,français,,2021.0,
14421,gueules noires,,,aventure,france,france,103.0,,,,,,,,33469.0,,français,,2023.0,
14422,dernière nuit à milan,,,drame,italie,italie,124.0,,,,,,,,40869.0,,"italien, anglais, chinois, français",Tous publics,2023.0,l’ultima notte di amore
14423,the old oak,,,drame,royaume-uni,france,113.0,,,,,,,,96295.0,,"anglais, arabe",Tous publics,2023.0,
14424,mes très chers enfants,,,comédie,france,france,95.0,,,,,,,,198247.0,,français,Tous publics,2021.0,
14425,avatar : la voie de leau,,,action,états-unis,u.s.a.,192.0,,,,,,,,2739850.0,,anglais,Tous publics avec avertissement,2022.0,avatar: the way of water
14426,ceux qui veulent ma mort,,,action,canada,u.s.a.,100.0,,,,,,,,2800000.0,,anglais,Tous publics,2021.0,those who wish me dead
14427,fermer les yeux,,,drame,espagne,espagne,169.0,,,,,,,,14004.0,,"espagnol, catalan, anglais, français, chinois",Tous publics,2023.0,cerrar los ojos
14428,nuit noire en anatolie,,,policier,turquie,turquie,114.0,,,,,,,,2115.0,,turc,,2022.0,karanlık gece
14429,novembre,,,policier,france,france,106.0,,,,,,,,592681.0,,français,Tous publics,2022.0,
14430,amelias children,,,horreur,portugal,portugal,91.0,,,,,,,,57593.0,,"anglais, portugais",,2023.0,
14431,double foyer,,,drame,france,france,85.0,,,,,,,,3551.0,,français,Tous publics,2023.0,
14432,the batman,,,action,états-unis,u.s.a.,176.0,,,,,,,,1165590.0,,"anglais, espagnol, latin, italien",Tous publics avec avertissement,2022.0,
14433,fast & furious x,,,action,états-unis,u.s.a.,141.0,,,,,,,,1140850.0,,anglais,Tous publics,2023.0,fast x
14434,mon crime,,,comédie,france,france,102.0,,,,,,,,427391.0,,"français, espagnol",Tous publics,2023.0,
14435,sans filtre,,,comédie,royaume-uni,suède,147.0,,,,,,,,179786.0,,"anglais, suédois, allemand, français, grec, tagalog, akan",Tous publics,2022.0,triangle of sadness
14436,la chambre des merveilles,,,drame,france,france,94.0,,,,,,,,298308.0,,français,Tous publics,2023.0,
14437,le menu,,,comédie,états-unis,u.s.a.,107.0,,,,,,,,124279.0,,"anglais, espagnol",,2022.0,the menu
14438,diógenes,,,drame,france,pérou,80.0,,,,,,,,277.0,,quechua,,2023.0,
14439,top gun: maverick,,,action,états-unis,u.s.a.,130.0,,,,,,,,1529610.0,,anglais,Tous publics,2022.0,
14440,le château solitaire dans le miroir,,,animation,japon,japon,116.0,,,,,,,,20761.0,,japonais,Not Rated,2022.0,kagami no kojou
14441,en corps,,,comédie,france,france,117.0,,,,,,,,332971.0,,"français, anglais",Tous publics,2022.0,
14442,aftersun,,,drame,royaume-uni,grande-bretagne,102.0,,,,,,,,38094.0,,"anglais, turc, espagnol",Tous publics,2022.0,
14443,mascarade,,,policier,france,france,134.0,,,,,,,,91498.0,,"français, anglais, italien",Tous publics,2022.0,
14444,revoir paris,,,drame,france,france,105.0,,,,,,,,142841.0,,"français, russe, anglais, espagnol",Tous publics,2022.0,
14445,bodies bodies bodies,,,comédie,états-unis,u.s.a.,94.0,,,,,,,,3128760.0,,anglais,R,2022.0,
14446,donjons & dragons : lhonneur des voleurs,,,action,états-unis,u.s.a.,134.0,,,,,,,,420168.0,,anglais,Tous publics,2023.0,dungeons & dragons: honor among thieves
14447,stars at noon,,,drame,france,france,135.0,,,,,,,,13094.0,,"anglais, français, espagnol",Tous publics,2022.0,
14448,sexygénaires,,,comédie,france,france,81.0,,,,,,,,63084.0,,français,Tous publics,2023.0,
14449,le tourbillon de la vie,,,drame,france,france,120.0,,,,,,,,64039.0,,français,Tous publics,2022.0,
14450,alibi.com 2,,,comédie,france,france,88.0,,,,,,,,81100.0,,français,Tous publics,2023.0,
14451,madeleine collins,,,drame,france,france,102.0,,,,,,,,68324.0,,français,Tous publics,2021.0,
14452,disco boy,,,drame,france,france,92.0,,,,,,,,15437.0,,"français, anglais, ibo, russe, polonais",Tous publics,2023.0,
14453,asteroid city,,,comédie,allemagne,u.s.a.,105.0,,,,,,,,117498.0,,anglais,Tous publics,2023.0,
14454,night swim,,,horreur,états-unis,u.s.a.,98.0,,,,,,,,96679.0,,anglais,,2024.0,
14455,sirocco et le royaume des courants dair,,,animation,belgique,france,74.0,,,,,,,,44535.0,,no language,,2023.0,
14456,le vourdalak,,,drame,france,france,91.0,,,,,,,,1912.0,,français,,2023.0,
14457,les algues vertes,,,drame,france,france,107.0,,,,,,,,125566.0,,français,Tous publics,2023.0,
14458,38°5 quai des orfèvres,,,comédie,france,france,84.0,,,,,,,,45576.0,,français,Tous publics,2023.0,
14459,le challenge,,,comédie,états-unis,u.s.a.,103.0,,,,,,,,54361.0,,anglais,Tous publics,2023.0,no hard feelings
14460,un silence,,,drame,france,belgique,99.0,,,,,,,,90037.0,,français,Tous publics avec avertissement,2023.0,
14461,lhomme debout,,,drame,france,france,86.0,,,,,,,,4797.0,,français,Tous publics,2023.0,
14462,suzume,,,animation,japon,japon,122.0,,,,,,,,181032.0,,"japonais, anglais",Tous publics,2022.0,suzume no tojimari
14463,le diable nexiste pas,,,drame,allemagne,allemagne,151.0,,,,,,,,26645.0,,"persan, allemand",Tous publics,2020.0,sheytan vojud nadarad
14464,les petites victoires,,,comédie,france,france,89.0,,,,,,,,250360.0,,français,Tous publics,2023.0,
14465,dalva,,,drame,france,france,83.0,,,,,,,,24408.0,,français,Tous publics,2022.0,
14466,elaha,,,drame,allemagne,allemagne,110.0,,,,,,,,422.0,,"allemand, kurde",,2023.0,
14467,la vie pour de vrai,,,comédie,france,france,110.0,,,,,,,,423667.0,,français,Tous publics,2023.0,
14468,marie-line et son juge,,,comédie,france,france,103.0,,,,,,,,127499.0,,français,Tous publics,2023.0,
14469,elvis,,,biographique,états-unis,u.s.a.,159.0,,,,,,,,343596.0,,anglais,Tous publics,2022.0,
14470,fall,,,action,royaume-uni,u.s.a.,107.0,,,,,,,,2512140.0,,anglais,,2022.0,
14471,john wick : chapitre 4,,,action,allemagne,u.s.a.,169.0,,,,,,,,411048.0,,"anglais, russe, japonais, espagnol, allemand, latin, cantonais, français",,2023.0,john wick: chapter 4
14472,le petit blond de la casbah,,,biographique,france,france,126.0,,,,,,,,35283.0,,français,Tous publics,2023.0,
14473,farang,,,action,france,france,99.0,,,,,,,,79426.0,,"anglais, thai, français",,2023.0,
14474,opération portugal,,,comédie,france,france,95.0,,,,,,,,147706.0,,"français, arabe, portugais",Tous publics,2021.0,
14475,les poussières,,,drame,france,france,69.0,,,,,,,,103.0,,"français, russe",,2024.0,
14476,les banshees dinisherin,,,comédie,irlande,irlande,114.0,,,,,,,,99482.0,,anglais,Tous publics,2022.0,the banshees of inisherin
14477,des mains en or,,,biographique,états-unis,france,0.0,,,,,,,,109081.0,,anglais,,,
14478,un coup de maître,,,comédie,argentine,france,100.0,,,,,,,,38596.0,,espagnol,Tous publics,2018.0,
14479,"bonnard, pierre et marthe",,,biographique,france,france,122.0,,,,,,,,146114.0,,français,Tous publics,2023.0,
14480,reality,,,drame,états-unis,u.s.a.,83.0,,,,,,,,46878.0,,anglais,,2023.0,
14481,bac nord,,,action,france,france,105.0,,,,,,,,483381.0,,français,Tous publics avec avertissement,2020.0,
14482,si seulement je pouvais hiberner,,,drame,mongolie,mongolie,96.0,,,,,,,,26073.0,,mongol,Tous publics,2023.0,baavgai bolohson
14483,sur les chemins noirs,,,drame,france,france,95.0,,,,,,,,438142.0,,français,Tous publics,2023.0,
14484,tromperie,,,drame,france,france,105.0,,,,,,,,41734.0,,"français, tchèque, anglais",Tous publics,2021.0,
14485,how to have sex,,,drame,royaume-uni,grande-bretagne,91.0,,,,,,,,34062.0,,anglais,Tous publics,2023.0,
14486,ninja turtles: teenage years,,,animation,états-unis,u.s.a.,99.0,,,,,,,,281644.0,,anglais,Tous publics,2023.0,teenage mutant ninja turtles: mutant mayhem
14487,le ciel rouge,,,comédie,allemagne,allemagne,102.0,,,,,,,,27500.0,,allemand,Tous publics,2023.0,roter himmel
14488,magnificat,,,comédie,france,france,98.0,,,,,,,,30964.0,,français,Tous publics,2023.0,
14489,de grandes espérances,,,drame,états-unis,france,111.0,,,,,,,,82734.0,,"anglais, français, portugais",Tous publics,1998.0,
14490,désigné coupable,,,biographique,royaume-uni,grande-bretagne,129.0,,,,,,,,148446.0,,"anglais, français, arabe, allemand, latin",Tous publics,2021.0,the mauritanian
14491,la beauté du geste,,,drame,japon,japon,99.0,,,,,,,,18599.0,,japonais,,2022.0,"keiko, me wo sumasete"
14492,as bestas,,,drame,espagne,espagne,137.0,,,,,,,,74066.0,,"français, galicien, espagnol",Tous publics,2022.0,
14493,illusions perdues,,,drame,france,france,149.0,,,,,,,,230106.0,,français,Tous publics,2021.0,
14494,un homme en colère,,,action,royaume-uni,u.s.a.,119.0,,,,,,,,149025.0,,"anglais, espagnol, arabe",,2021.0,wrath of man
14495,adieu les cons,,,comédie,france,france,87.0,,,,,,,,600444.0,,"français, anglais",Tous publics,2020.0,
14496,nicky larson - city hunter: angel dust,,,animation,japon,japon,94.0,,,,,,,,35833.0,,japonais,,2023.0,city hunter the movie: angel dust
14497,larche de noé,,,aventure,allemagne,france,0.0,,,,,,,,15732.0,,anglais,,,
14498,dream scenario,,,comédie,états-unis,u.s.a.,102.0,,,,,,,,26466.0,,"anglais, français",R,2023.0,
14499,hommes au bord de la crise de nerfs,,,comédie,belgique,france,97.0,,,,,,,,102659.0,,français,Tous publics,2022.0,
14500,coup de chance,,,comédie,états-unis,grande-bretagne,93.0,,,,,,,,72623.0,,français,Tous publics,2023.0,
14501,les choses simples,,,comédie,france,france,95.0,,,,,,,,222130.0,,français,Tous publics,2023.0,
14502,incroyable mais vrai,,,comédie,france,france,74.0,,,,,,,,133330.0,,"français, japonais",Tous publics,2022.0,
14503,les complices,,,action,états-unis,france,123.0,,,,,,,,72930.0,,anglais,Tous publics,1994.0,
14504,mon ami robot,,,animation,espagne,espagne,102.0,,,,,,,,13872.0,,no language,Tous publics,2023.0,robot dreams
14505,en attendant bojangles,,,comédie,france,france,124.0,,,,,,,,228476.0,,français,Tous publics,2021.0,
14506,making of,,,drame,france,france,119.0,,,,,,,,88397.0,,français,,2023.0,
14507,rien à foutre,,,drame,france,france,115.0,,,,,,,,53656.0,,"anglais, français, roumain",Tous publics,2021.0,
14508,tous en scène 2,,,animation,états-unis,u.s.a.,110.0,,,,,,,,1173590.0,,anglais,Tous publics,2021.0,sing 2
14509,ma langue au chat,,,comédie,france,france,99.0,,,,,,,,52377.0,,français,Tous publics,2023.0,
14510,reste un peu,,,comédie,france,france,90.0,,,,,,,,152695.0,,français,Tous publics,2022.0,
14511,le bleu du caftan,,,drame,france,france,122.0,,,,,,,,54381.0,,arabe,Tous publics,2022.0,
14512,linnocent,,,comédie,france,france,99.0,,,,,,,,192906.0,,"français, espagnol, anglais",Tous publics,2022.0,
14513,la grâce,,,drame,russie,russie,119.0,,,,,,,,3217.0,,russe,Tous publics,2023.0,blazh
14514,tár,,,drame,états-unis,u.s.a.,158.0,,,,,,,,98869.0,,"anglais, allemand, philippin, français",Tous publics,2022.0,
14515,plancha,,,comédie,france,france,100.0,,,,,,,,271193.0,,français,Tous publics,2022.0,
14516,sous le vent des marquises,,,drame,france,france,91.0,,,,,,,,28048.0,,français,,2024.0,
14517,beau is afraid,,,comédie,états-unis,u.s.a.,179.0,,,,,,,,35019.0,,anglais,,2023.0,
14518,la vénus dargent,,,drame,france,france,98.0,,,,,,,,10199.0,,français,,2023.0,
14519,armageddon time,,,drame,états-unis,u.s.a.,114.0,,,,,,,,155547.0,,anglais,Tous publics,2022.0,
14520,dragon ball super: super hero,,,animation,japon,japon,100.0,,,,,,,,218070.0,,"anglais, japonais",Tous publics avec avertissement,2022.0,
14521,the son,,,drame,royaume-uni,france,123.0,,,,,,,,102272.0,,anglais,Tous publics,2022.0,
14522,annie colère,,,comédie,france,france,119.0,,,,,,,,68373.0,,français,Tous publics,2022.0,
14523,de son vivant,,,drame,france,france,122.0,,,,,,,,90106.0,,"anglais, français",Tous publics,2021.0,
14524,toi non plus tu nas rien vu,,,drame,france,france,92.0,,,,,,,,4869.0,,français,Tous publics,2022.0,
