actors,budget,compositor,country,date,director,first_week_entries,franchise,genre,producer,remake,studio,title,url
"
                            Antonio Banderas,
                            Alain Chabat,
                            Cameron Diaz,
                            Eddie Murphy,
                            Mike Myers,
                            Seth Rogen,
                            Justin Timberlake",160 000 000 $,,Etats-Unis,  13/06/2007,,1 751 471,Franchise,Animation,,,"
                Paramount","
                            Shrek Le Troisième",https://www.jpbox-office.com/fichfilm.php?id=116&view=2
,180 000 000 $,,Etats-Unis,  21/12/2005,"
                                    Andrew Adamson",1 813 554,Franchise,Fantasy,,,"
                Walt Disney Pictures","
                            Le Monde de Narnia : Le lion, la sorcière blanche et l'armoire magique",https://www.jpbox-office.com/fichfilm.php?id=702&view=2
,200 000 000 $,,Grande-Bretagne,  26/10/2012,"
                                    Sam Mendes",1 839 220,Franchise,Aventure - Action,,,"
                Sony Pictures","
                            Skyfall",https://www.jpbox-office.com/fichfilm.php?id=12100&view=2
,75 200 000 €,,France,  07/05/1997,"
                                    Luc Besson",1 813 448,,Science Fiction,,,"
                GBVI","
                            Le Cinquième élément",https://www.jpbox-office.com/fichfilm.php?id=3360&view=2
,250 000 000 $,,Etats-Unis,  25/07/2012,"
                                    Christopher Nolan",1 835 547,Franchise,Comicbook,,,"
                Warner Bros.","
                            The Dark Knight Rises",https://www.jpbox-office.com/fichfilm.php?id=11743&view=2
,250 000 000 $,,Etats-Unis,  12/04/2017,"
                                    F. Gary Gray",1 861 108,Franchise,Aventure - Action,,,"
                Universal","
                            Fast & Furious 8",https://www.jpbox-office.com/fichfilm.php?id=15184&view=2
,31 000 000 $,,Etats-Unis,  22/01/1986,"
                                    Sylvester Stallone",1 846 150,Franchise,Aventure - Action,,,"
                CIC","
                            Rocky IV",https://www.jpbox-office.com/fichfilm.php?id=6386&view=2
,40 000 000 $,,Etats-Unis,  19/04/2000,"
                                    Wes Craven",1 395 626,Franchise,Horreur,,,"
                Bac Films","
                            Scream 3",https://www.jpbox-office.com/fichfilm.php?id=2409&view=2
"
                            Courteney Cox,
                            Patrick Dempsey,
                            Liev Schreiber",40 000 000 $,,Etats-Unis,  19/04/2000,"
                                    Wes Craven",1 395 626,Franchise,Horreur,,,"
                Bac Films","
                            Scream 3",https://www.jpbox-office.com/fichfilm.php?id=2409&view=2
,301 000 000 $,,Etats-Unis,  06/10/2021,,1 384 858,Franchise,Aventure - Action,,,"
                Universal","
                            Mourir peut attendre",https://www.jpbox-office.com/fichfilm.php?id=18174&view=2
"
                            Daniel Craig,
                            Léa Seydoux,
                            Ralph Fiennes,
                            Christoph Waltz",301 000 000 $,Hans Zimmer,Etats-Unis,  06/10/2021,,1 384 858,Franchise,Aventure - Action,,,"
                Universal","
                            Mourir peut attendre",https://www.jpbox-office.com/fichfilm.php?id=18174&view=2
,200 000 000 $,,Etats-Unis,  26/04/2017,"
                                    James Gunn",1 401 339,Franchise,Comicbook,,,"
                Walt Disney Pictures","
                            Les Gardiens de la Galaxie 2",https://www.jpbox-office.com/fichfilm.php?id=14853&view=2
,170 000 000 $,,Etats-Unis,  06/06/2018,"
                                    Juan Antonio Bayona",1 396 911,Franchise,Aventure - Action,,,"
                Universal","
                            Jurassic World: Fallen Kingdom",https://www.jpbox-office.com/fichfilm.php?id=17223&view=2
,76 000 000 $,,Etats-Unis,  26/06/2013,"
                                    Chris Renaud",1 418 855,Franchise,Animation,,,"
                Universal","
                            Moi, moche et méchant 2",https://www.jpbox-office.com/fichfilm.php?id=12705&view=2
,135 000 000 $,,Etats-Unis,  24/02/2016,"
                                    Alejandro González Iñárritu",1 409 177,,Aventure - Action,,,"
                20th Century Fox","
                            The Revenant",https://www.jpbox-office.com/fichfilm.php?id=15065&view=2
,75 000 000 $,,Etats-Unis,  25/07/2007,,1 420 883,,Animation,,,"
                20th Century Fox","
                            Les Simpsons",https://www.jpbox-office.com/fichfilm.php?id=141&view=2
"
                            Jennifer Lawrence,
                            Woody Harrelson,
                            Philip Seymour Hoffman",,James Newton Howard,Etats-Unis,  27/11/2013,"
                                    Francis Lawrence",1 425 123,Franchise,Fantasy,,,"
                Metropolitan","
                            Hunger Games - L'embrasement",https://www.jpbox-office.com/fichfilm.php?id=12735&view=2
,180 000 000 $,,Etats-Unis,  16/11/2016,"
                                    David Yates",1 420 401,Franchise,Fantasy,,,"
                Warner Bros.","
                            Les Animaux fantastiques",https://www.jpbox-office.com/fichfilm.php?id=15601&view=2
"
                            Jennifer Lawrence,
                            Woody Harrelson,
                            Philip Seymour Hoffman",130 000 000 $,James Newton Howard,Etats-Unis,  27/11/2013,"
                                    Francis Lawrence",1 425 123,Franchise,Fantasy,,,"
                Metropolitan","
                            Hunger Games - L'embrasement",https://www.jpbox-office.com/fichfilm.php?id=12735&view=2
,150 000 000 $,,Etats-Unis,  24/11/1999,,1 435 561,,Animation,,,"
                GBVI","
                            Tarzan",https://www.jpbox-office.com/fichfilm.php?id=2705&view=2
"
                            Glenn Close,
                            Valérie Lemercier,
                            Minnie Driver",150 000 000 $,,Etats-Unis,  24/11/1999,,1 435 561,,Animation,,,"
                GBVI","
                            Tarzan",https://www.jpbox-office.com/fichfilm.php?id=2705&view=2
,200 000 000 $,,Etats-Unis,  04/05/2022,"
                                    Sam Raimi",1 438 287,Franchise,Comicbook,,,"
                Walt Disney Pictures","
                            Doctor Strange in the Multiverse of Madness",https://www.jpbox-office.com/fichfilm.php?id=19544&view=2
,250 000 000 $,,Etats-Unis,  12/12/2012,"
                                    Peter Jackson",1 434 119,Franchise,Fantasy,,,"
                Warner Bros.","
                            Le Hobbit : un voyage inattendu",https://www.jpbox-office.com/fichfilm.php?id=12213&view=2
"
                            Marlon Wayans,
                            Anna Faris",,,Etats-Unis,  25/10/2000,"
                                    Keenen Ivory Wayans",1 438 991,Franchise,Comédie,,,"
                Bac Films","
                            Scary Movie",https://www.jpbox-office.com/fichfilm.php?id=2403&view=2
"
                            Marlon Wayans,
                            Anna Faris",19 000 000 $,,Etats-Unis,  25/10/2000,"
                                    Keenen Ivory Wayans",1 438 991,Franchise,Comédie,,,"
                Bac Films","
                            Scary Movie",https://www.jpbox-office.com/fichfilm.php?id=2403&view=2
