film_id,date_sortie
tt3799694,"May 15, 2016"
tt0373469,"May 14, 2005"
tt0366551,"March 15, 2007"
tt0115964,"May 17, 1996"
tt0808399,"April 14, 2010"
tt18272208,No date found
tt11827628,"July 29, 2022"
tt0113243,"August 25, 1998"
tt1700841,"November 30, 2016"
tt21830902,"February 9, 2024"
tt5034838,"April 21, 2021"
tt0765443,"November 7, 2007"
tt0449059,"September 4, 2006"
tt23289160,"December 7, 2023"
tt5779228,"July 17, 2024"
tt14209916,"March 15, 2023"
tt0119217,"March 4, 1998"
tt0102926,"April 10, 1991"
tt0374900,"December 21, 2004"
tt15671028,"June 21, 2023"
tt0974015,"November 15, 2017"
tt10869956,No date found
tt0066921,"April 21, 1972"
tt0093177,"February 24, 1988"
tt3748172,"September 29, 2017"
tt15398776,"July 11, 2023"
tt0289765,"October 30, 2002"
tt0076666,"April 5, 1978"
tt0215129,"October 18, 2000"
tt0185937,May 1999
tt1524515,No date found
tt0383574,"July 6, 2006"
tt22408160,No date found
tt3521164,"November 16, 2016"
tt14208870,"October 18, 2022"
tt7984766,"November 1, 2019"
tt1731141,"November 6, 2013"
tt2908446,"March 18, 2015"
tt9663896,"May 18, 2023"
tt0472043,"January 10, 2007"
tt0124298,"May 24, 2000"
tt1570728,"September 9, 2011"
tt0112508,"July 10, 2007"
tt2193215,"November 11, 2013"
tt4701182,"December 26, 2018"
tt0268126,"March 26, 2003"
tt0458339,"August 17, 2011"
tt22023218,No date found
tt1536537,"August 30, 2017"
tt6495056,"December 6, 2023"
tt0120784,"March 31, 1999"
tt1055369,"June 24, 2009"
tt5109784,"September 7, 2017"
tt2361509,"October 7, 2015"
tt8652728,"January 29, 2020"
tt0129167,"December 8, 1999"
tt1758692,"July 15, 2012"
tt0088933,"November 27, 1985"
tt0119978,"April 22, 1998"
tt4276820,"December 28, 2016"
tt28074691,No date found
tt1212450,"May 19, 2012"
tt1670345,"July 31, 2013"
tt0101414,"May 13, 1992"
tt0031381,"August 22, 1944"
tt0257106,"July 25, 2001"
tt0095953,"March 15, 1989"
tt0116209,"March 12, 1997"
tt0107653,"May 14, 1993"
